# 	Wavelength	 Divided_Spectra	 Divided_Error
1.053359343139120710e+03 7.436162453198986722e-01 9.744592172648749995e-02
1.053601587776297492e+03 5.914132219568831728e-01 6.482660493134310975e-02
1.053844104292977363e+03 6.389066775567414647e-01 6.238095974323464021e-02
1.054087164568663184e+03 6.290020918263354854e-01 5.555733806668781277e-02
1.054329681085342827e+03 7.289995602849552725e-01 6.469613416914635207e-02
1.054572741361028875e+03 7.816228983555366661e-01 6.859285920978394624e-02
1.054815257877708518e+03 7.679986950453228101e-01 6.541689253095266110e-02
1.055058590032897428e+03 8.096284626966605558e-01 7.070315782053812614e-02
1.055301378429080160e+03 9.365292835533270965e-01 8.599568716783899391e-02
1.055543894945760030e+03 7.456339750150303702e-01 5.983032159767256997e-02
1.055787498980451801e+03 7.866813083333171752e-01 6.625198849552554892e-02
1.056030287376634533e+03 9.914180620635623109e-01 9.718817949143478130e-02
1.056273891411326531e+03 9.326537233995835230e-01 9.039211018243059614e-02
1.056516951687012352e+03 7.321149115406433427e-01 6.320610340281526685e-02
1.056760555721704122e+03 7.581400690445813106e-01 6.820080950765197714e-02
1.057003615997389943e+03 7.162666033988852599e-01 6.409553281867652608e-02
1.057246676273075764e+03 7.048990931094959445e-01 6.590482929920558897e-02
1.057490552187270623e+03 6.883310661649590934e-01 6.319152012135945129e-02
1.057733884342459305e+03 7.027926833312921895e-01 6.403091186526625733e-02
1.057977760256654165e+03 6.776150390915202104e-01 6.363698562431009675e-02
1.058221092411843074e+03 7.095166920192554905e-01 6.615841596667056124e-02
1.058465240205540795e+03 8.449700804884396899e-01 8.343768708018352298e-02
1.058708572360729704e+03 8.110776762724631883e-01 7.732729429926740727e-02
1.058952720154427652e+03 8.239645524742583715e-01 8.173358187324702984e-02
1.059196324189119423e+03 8.917207286151831447e-01 8.794694006731786085e-02
1.059439928223811194e+03 8.420015481624277820e-01 7.812537949083017685e-02
1.059684347897012003e+03 7.802562580324033936e-01 6.878084110758306280e-02
1.059927951931703774e+03 6.371544313950573413e-01 5.273655773700896415e-02
1.060172643484407672e+03 7.140068295399351062e-01 6.435043671578324909e-02
1.060416519398602532e+03 7.708571165675373038e-01 6.618680842518957774e-02
1.060660939071803341e+03 8.398591885125897827e-01 7.287654358926529130e-02
