SDSS_Names_14,Plate_14,Mjd_14,Fiber_14,Mbh_14,Mbh_err_14,Lbol_14,Quality_Lbol_14,Redd_14,Quality_Redd_14
015359.68+274340.3,8857,57449,410,9.161063786781881,0.01742407532348684,46.73854243853377,0,-0.5624004346493497,-999
005202.37+230724.0,7892,57333,134,9.398975089707497,0.04118985865939395,47.00051828955271,0,-0.5383358865560269,0
103959.35+174714.2,8504,57518,98,9.592491475877168,0.8684328566447069,46.871649876253585,0,-0.8607206860248215,16
133038.51+442059.6,5204,56036,816,10.000658643881634,0.06876856999424752,47.354968840448755,0,-0.7855688898341172,0
091825.09+294320.0,5360,55983,14,9.295319980139363,0.030008194041343594,46.94828156839819,0,-0.48691749814241464,0
112507.82+212022.2,5397,55944,352,8.688725130891836,0.1647770548950014,46.669893056571944,0,-0.15871116072113095,-999
100439.52+205942.2,5890,56037,394,9.367847512047137,0.05463038703304964,46.83093223063169,0,-0.6767943678166867,0
112011.75+551759.7,5894,56039,220,9.424053671275557,0.020281043364371122,47.1159678451072,0,-0.44796491256959575,0
115033.53+082923.1,5900,56043,250,9.423758223553321,0.035307423401411894,46.918080007009806,0,-0.645557302944754,0
113404.80+570125.8,6017,56075,590,9.412388099793729,0.03900316952138121,46.92721893566664,0,-0.6250482505283302,0
092932.01+254724.4,6406,56330,854,9.029990187440118,0.09870606929663589,46.798016780411025,0,-0.371852493430332,0
085605.83+450520.0,6429,56274,236,8.928043360002114,0.07716663272417291,46.521796226914205,0,-0.546126219489148,0
112614.85+484803.3,6833,56413,278,9.036043709886787,0.09784304035132738,47.24861927271795,0,0.07269647642992702,0
130657.21+522331.5,8490,57104,424,9.055837792386061,0.028441937984518925,47.122963395543785,0,-0.07275348324351512,-999
010153.69+000640.8,7915,57309,358,9.19252818501268,0.07856554990305685,46.60643032421819,0,-0.725976947195731,0
002715.81+063558.0,7906,57333,305,9.064406445217227,0.10778309913614437,46.75913638000211,0,-0.445149151616354,0
131452.63+612831.8,5200,56091,107,9.487160221498224,0.07625461880724463,46.700767301349856,0,-0.9262720065496063,0
133043.85+535839.1,5480,56001,920,9.167988969225217,0.03620579303018906,46.70895900543516,0,-0.5989090501912938,0
085134.30+144108.8,6644,56384,409,9.301381318784523,0.019686993842923252,46.89609456261065,0,-0.5451658425751128,0
135814.59+414344.4,6737,56365,860,9.453957251776123,0.0813765466162466,46.78150926807403,0,-0.8123270701033294,0
005520.67-003533.6,7842,56899,718,8.706092826472023,0.028100435043146993,46.60000874086271,0,-0.24596317201054954,0
000556.27-034535.4,7679,57367,342,9.403474019678097,0.10550687146140461,46.978545447611346,0,-0.5648076584679896,0
101850.50+533458.1,5339,55922,676,9.242687386493849,0.014205410175218605,46.712051243489014,0,-0.6705152294060729,0
111152.65+254035.2,5396,55947,1000,9.358903886369044,0.019902353887657775,46.818072019685054,0,-0.6807109530852281,-999
102248.17+484756.1,5974,56314,518,9.166689846075757,0.03943020157185346,47.06355737688802,0,-0.24301155558897494,0
111055.84+381055.2,5977,56098,276,9.376404905938024,0.044545187885492624,46.96771483578733,0,-0.5485691565519294,0
122043.96+385119.1,6040,56101,884,9.359018151606675,0.02809165652218664,46.743051440974035,0,-0.755845797033878,0
114740.91+573555.7,6492,56362,738,9.494043975091376,0.034764824316048305,46.895911670610744,0,-0.7380113908818712,0
003532.22+352625.8,7633,56931,960,9.341322132106342,0.15539934483528353,46.85954802586023,0,-0.6216531926473526,0
022931.89-035421.1,4468,55894,786,9.41198595841624,0.015688984793926112,47.20548697781233,0,-0.34637806700515145,0
123047.19+334455.9,5203,56034,346,9.277947048350027,0.035566809415034185,46.94345484258079,0,-0.47437129217047425,0
094009.56+551150.0,5377,55957,558,9.532045053447844,0.8684326394350749,46.87683526642516,0,-0.7950888734239215,12
080745.22+295247.4,5782,56272,604,8.588802719933248,0.028677329968531975,46.88169353919391,0,0.1530117328594239,-999
112426.72+322851.6,5987,56339,860,8.29489903361155,0.39193211144025764,46.81661440975221,0,0.3818362897394233,-999
114033.37+474412.2,5997,56309,870,9.500030363235494,0.017586051196356995,47.0715904819621,0,-0.5683189676746353,0
110144.77+150315.8,6482,56358,520,9.649872998540598,0.1602100428099383,46.770815774364195,0,-1.0189363105776421,0
