000154.90-004956.4,4216,55477,166,2.82863,3502.440553,21.11166203,-999,TRUE,FALSE,0,0,0,0,0.9772064438,21.5087433,9.450105663,47.15958241,-0.3898810525,9.54451182,0.04358740558,0,47.08698196,0,-0.5974089459,0,0,0,-999,-54584.8434,,,-58116.7757,,
001306.14+000431.8,4217,55478,20,2.17095,3300.604223,23.64030304,0.1238813722,TRUE,FALSE,0,0,0,0,0.9354569778,11.2232542,8.999877477,46.57782511,-0.5214101661,9.939947387,0.02643361368,0,46.74720829,0,-1.332618179,0,0,0,0,-55349.9876,,,-58346.7806,,
073505.97+280327.0,4456,55537,704,2.31329,1745.243704,13.35987159,0.4322432526,FALSE,TRUE,0,0,0,0,0.8414332398,20.2268353,9.263713089,46.98215422,-0.380916662,9.268912343,0.09525590994,0,46.97327719,0,-0.4355142428,0,0,0,-999,-36515.8231,-46609.9175,,-48562.6564,-42624.4516,
081337.14+155705.4,4498,55615,502,2.45809,1727.24081,25.41020067,0.3382787496,TRUE,FALSE,0,0,0,0,0.7452983547,13.9577808,9.417832966,46.92383229,-0.5933584704,9.533067607,0.04196194023,0,46.9580175,0,-0.7149291931,0,0,0,-999,-46459.4462,,,-51904.027,,
075852.68+133530.8,4506,55568,824,3.41397,4161.82709,18.10924703,0.006292396827,TRUE,FALSE,0,0,0,0,1.10979654,18.1397114,9.486518183,47.52249773,-0.06337824679,10.40201342,0.1135871948,10,47.40305708,0,-1.138835435,10,0,0,0,-35610.45,,,-39689.6327,,
075240.18+092523.0,4511,55602,415,3.02937,3142.711686,25.82344359,0.1635669153,TRUE,FALSE,0,0,0,0,0.9092023414,23.1227074,9.465659503,47.30918409,-0.2558332054,9.671423749,0.07820747118,0,47.26633121,0,-0.5449716273,0,0,0,-999,-38268.8562,-45650.6106,,-47874.7508,-42609.3234,
100400.20+372551.9,4567,55589,454,2.533863,4468.759045,15.97490694,0.007873060291,FALSE,TRUE,0,0,0,0,1.155163393,23.6656685,9.479771177,47.16977855,-0.409350419,10.00293237,0.05809160769,10,47.15864307,0,-0.9841683821,10,0,0,-999,-30027.58,-35623.9296,,-41805.0618,-32282.5209,
095603.47+382517.2,4570,55623,296,2.90505,1055.10406,28.61191987,1.161728763,TRUE,FALSE,2442.540772,24989.99739,18741.93933,0.6825428046,0.6579492743,11.679059,9.026545276,46.91821804,-0.2076850371,9.297755661,0.1322455076,-999,46.75782917,0,-0.6798055734,-999,1566.0155,32.109745,-999,-33631.8951,,,-38193.6962,,
094023.55+404703.2,4571,55629,730,2.59291,3946.29711,17.80657146,0.007426201267,FALSE,TRUE,0,0,0,0,1.069182648,17.0822086,9.316143608,46.9975437,-0.4179577031,9.846823859,0.05859596706,10,46.99398295,0,-0.9927199962,10,0,0,-999,-42277.0515,,,-50569.5584,,
095005.90+362455.2,4573,55587,698,2.244865,3439.448188,21.79432344,0.01336231899,TRUE,FALSE,0,0,0,0,0.9634530162,20.4637871,9.263980607,47.06526123,-0.2980771777,9.685544711,0.1565722435,-999,46.94727456,0,-0.8781492347,-999,338.83957,5.3357797,0,-35451.4947,,,-39734.8955,,
111154.35+372321.2,4622,55629,678,2.075169,5025.369097,14.77144634,0.003757900745,FALSE,TRUE,0,0,0,0,1.228740053,28.0089264,9.086691303,47.271204,0.08515490147,9.893848934,0.0308021673,-999,47.21722186,0,-0.8165061617,-999,270.7676,8.347131,0,-45807.107,-51993.0353,,-59993.09,-51725.1619,
133150.25+393417.7,4708,55704,418,1.995084,4200.171738,15.75306344,-999,TRUE,FALSE,3443.778008,24989.99739,18260.57431,0.7214080098,1.119054024,15.0829468,8.963904256,46.73722459,-0.3260374667,9.240924988,0.07419391666,-999,46.64479358,0,-0.7360104949,-999,2714.6099,48.1953,1,-32391.1491,,,-41099.7504,,
110841.93+031735.1,4741,55704,786,3.35574,2813.675911,32.92431089,0.1290410551,TRUE,FALSE,1981.024907,24989.99739,18879.4534,0.5116951301,0.8227661911,16.2811699,9.343141692,47.15915837,-0.2833411154,9.789175584,0.02387843245,-999,47.03462174,0,-0.8944329315,-999,1633.6528,120.58524,-999,-36857.7629,,,-40797.0956,,
095254.10+021932.8,4743,55645,118,2.1549,2236.904202,19.95683862,0.3637857091,TRUE,FALSE,0,0,0,0,0.8367588947,26.3326244,9.406675018,47.20500848,-0.3010243365,9.649653023,0.02955193147,0,47.20782026,0,-0.5817118494,0,0,0,0,-34149.5135,,,-36329.5372,,
103456.31+035859.4,4772,55654,106,3.39182,2609.364742,28.38036449,0.2107521006,FALSE,TRUE,0,0,0,0,0.8234926769,24.2647114,9.575986833,47.55306686,-0.1222777743,9.74496017,0.0389638698,0,47.49907089,0,-0.3857683621,0,0,0,0,-51641.5487,,,-53650.0774,,
151016.40+034200.0,4776,55652,216,2.24132,1002.572746,30.09702869,1.097244108,FALSE,TRUE,0,0,0,0,0.6439992967,10.1978703,9.12060959,46.751762,-0.4682053891,9.076750287,0.04120774559,0,46.71904644,0,-0.4975829373,0,0,0,-999,-46045.051,,,-48133.6557,,
131307.93+065349.0,4840,55690,576,2.917555,3117.67031,23.06489398,0.02269038874,TRUE,FALSE,0,0,0,0,0.9216693192,15.1707478,9.400080833,47.00656188,-0.4928767503,9.746738543,0.06971477801,0,46.9734892,0,-0.9131284332,0,0,0,-999,-37574.4978,,,-43339.1675,,
144356.21+062539.2,4858,55686,392,2.600088,1363.052687,30.79273766,1.50245073,TRUE,FALSE,2733.341473,21422.01625,11650.48953,0.7483900422,0.6763912932,21.2143326,9.255731048,47.18599371,-0.1690951346,9.319046389,0.04457232694,-999,47.08182224,0,-0.3771032327,-999,1507.6204,11.008626,-999,-34850.1526,,,-43269.8577,,
171800.39+314203.9,4998,55722,306,2.477668,4354.389197,19.03339646,0.01037943985,FALSE,TRUE,0,0,0,0,1.139859685,20.5681152,9.393056635,47.14921894,-0.3431954931,9.894967061,0.05026170942,11,47.15311566,0,-0.8817304826,11,0,0,-999,-33674.0662,,,-42711.6863,,
