# 	Wavelength	 Divided_Spectra	 Divided_Error
1.016193415078437170e+03 1.136168889154626216e+00 4.450305967236982685e-01
1.016427775210026880e+03 2.168756781642410036e+00 8.775473525922781182e-01
1.016661591582610527e+03 1.202273234511143540e+00 4.323794844962068340e-01
1.016895951714200237e+03 1.141947528719058580e+00 3.913458158516633367e-01
1.017129768086783884e+03 1.408982302347980387e+00 3.868190013965159824e-01
1.017364400097876569e+03 1.674000055098194828e+00 3.621140478610764823e-01
1.017598488349963304e+03 1.418202484825996201e+00 2.805206858671580594e-01
1.017832576602049926e+03 1.055580384446391129e+00 2.522005569372288702e-01
1.018067208613142611e+03 9.156216185685283060e-01 2.143468935412019827e-01
1.018301568744732322e+03 1.226968598091431328e+00 2.677692292431723686e-01
1.018536472635327982e+03 1.333650647679556212e+00 2.926654927367599579e-01
1.018770560887414604e+03 1.213594298427889573e+00 2.476130331610258695e-01
1.019005464778010264e+03 1.137605432366659786e+00 2.180050658911556472e-01
1.019240096789103063e+03 1.133096576679273992e+00 2.265992809999895774e-01
1.019474456920692660e+03 9.918208749158510251e-01 1.947845474082063322e-01
1.019709632690791409e+03 1.238534515180867102e+00 2.348517781074482558e-01
1.019944264701884094e+03 1.128950401254930291e+00 2.456728665608444995e-01
1.020179440471982844e+03 1.128636266367723628e+00 2.628270645832382901e-01
1.020414072483075415e+03 1.155899137483533234e+00 2.327960518138433299e-01
1.020649248253174164e+03 1.364659872368702676e+00 2.795760393922877562e-01
1.020884152143769938e+03 1.377643479584390818e+00 3.036376032044166839e-01
1.021119599793371549e+03 1.363583429002437786e+00 2.740278725513861646e-01
1.021354503683967209e+03 8.158386491886850944e-01 1.668741641972797951e-01
1.021589407574562870e+03 9.336047108053892041e-01 1.689248236005122528e-01
1.021825127103667569e+03 8.648007898856852060e-01 1.591012626033422306e-01
1.022060030994263343e+03 5.298059765036089441e-01 1.174224337432874660e-01
1.022295750523368042e+03 9.267047154526673047e-01 1.491711714169139946e-01
1.022530926293466678e+03 1.102943548815505048e+00 2.134925069136047737e-01
1.022766645822571490e+03 1.302081450595263590e+00 2.636674400309347299e-01
1.023002093472173101e+03 1.372085860496043530e+00 2.650446954320258564e-01
1.023237269242271736e+03 1.347751157921417198e+00 2.665750282373308688e-01
1.023473260650879411e+03 1.244697204519799927e+00 2.547047958704445336e-01
1.023708708300481135e+03 1.110884576074949948e+00 1.983329699709383553e-01
1.023944699709088809e+03 1.273348702404552446e+00 2.282590029770478479e-01
1.024180419238193508e+03 1.361852077131486816e+00 2.435576096065797391e-01
1.024416410646801296e+03 8.500239641535256574e-01 1.705664508171549354e-01
1.024652130175905995e+03 8.292688939244133861e-01 1.692711599906081277e-01
