# 	Wavelength	 Divided_Spectra	 Divided_Error
1.047554000000000087e+03 1.183620496948029510e+00 2.050623341245098596e-01
1.047796000000000049e+03 1.212781517139530196e+00 2.189325220857354926e-01
1.048036000000000058e+03 1.057791494496069351e+00 1.707335554595604821e-01
1.048278000000000020e+03 1.021908562665810649e+00 1.349537092050897003e-01
1.048519000000000005e+03 1.050533747557980124e+00 1.313346541481710261e-01
1.048759999999999991e+03 1.418317985661965652e+00 2.061248711172982695e-01
1.049001999999999953e+03 1.347256950377207607e+00 1.778353144491026105e-01
1.049243999999999915e+03 1.381828005216122701e+00 1.824939349207381767e-01
1.049486000000000104e+03 1.215666178744918557e+00 1.844435088848738746e-01
1.049727000000000089e+03 9.812282961024649808e-01 1.312175907127338670e-01
1.049969000000000051e+03 1.179256887361618267e+00 1.812027259560094195e-01
1.050211000000000013e+03 1.039947175210739871e+00 1.419504869553626092e-01
1.050451999999999998e+03 1.074554218134273986e+00 1.442213875099263021e-01
1.050694999999999936e+03 1.065728996580710630e+00 1.482708316548391192e-01
1.050935999999999922e+03 9.971605125099337608e-01 1.364179629535199889e-01
1.051179000000000087e+03 8.055771180088610040e-01 1.175989799003132885e-01
1.051421000000000049e+03 8.386905271375331150e-01 1.070487984739205978e-01
1.051663000000000011e+03 1.035358999753545950e+00 1.335373729469071791e-01
1.051904999999999973e+03 1.245537648731668501e+00 1.699334624188326426e-01
1.052146999999999935e+03 1.192479972718438530e+00 1.645839836341589923e-01
1.052390000000000100e+03 9.736062623334442723e-01 1.528607878681255416e-01
1.052631000000000085e+03 1.177668138475399306e+00 2.661689802527290594e-01
1.052874000000000024e+03 7.657300163732512210e-01 2.199112377696554876e-01
1.053116999999999962e+03 9.442246156160855053e-01 2.701212077471972783e-01
1.053358999999999924e+03 1.229691013184670778e+00 2.421927578382381818e-01
1.053602000000000089e+03 1.294852410572810752e+00 1.954488447531815831e-01
1.053844000000000051e+03 1.327102476114961238e+00 1.886802031777583266e-01
1.054086999999999989e+03 1.418364467760144576e+00 1.904640668139825077e-01
1.054329999999999927e+03 1.027102168284088624e+00 1.177723462086019829e-01
1.054573000000000093e+03 1.224049287228057725e+00 1.544215894219323759e-01
1.054815000000000055e+03 1.116907174873017272e+00 1.314977762688783192e-01
1.055058999999999969e+03 1.016104126786713691e+00 1.188554171431607659e-01
1.055300999999999931e+03 1.053185122484404435e+00 1.334319751811920418e-01
1.055544000000000096e+03 1.169327774015539889e+00 1.319706737084369863e-01
1.055787000000000035e+03 9.528188726239763540e-01 1.030990447975648899e-01
1.056029999999999973e+03 8.772151065802866743e-01 1.119626678719592705e-01
1.056273999999999887e+03 1.017313173726985376e+00 1.350620044360767991e-01
1.056517000000000053e+03 1.223027684369495161e+00 1.518172172338267401e-01
1.056759999999999991e+03 1.166219828050670371e+00 1.466332292585569297e-01
1.057003999999999905e+03 1.240568433838292517e+00 1.592525677961605934e-01
1.057247000000000071e+03 1.136136242958224241e+00 1.433392892172956068e-01
1.057490000000000009e+03 1.349732024142579423e+00 1.804689763449012496e-01
1.057733999999999924e+03 1.452121375629893407e+00 2.051380273218852968e-01
1.057978000000000065e+03 1.091718221380366005e+00 1.349861422356957441e-01
1.058221000000000004e+03 1.041977725030413637e+00 1.257019485129310943e-01
1.058464999999999918e+03 1.539331735017173353e+00 2.586687960256344732e-01
1.058708000000000084e+03 1.087985692807662774e+00 1.429278193653899243e-01
1.058952999999999975e+03 9.635419761271845074e-01 1.254906685402754074e-01
1.059195999999999913e+03 8.966968580609121497e-01 1.120566025194762033e-01
1.059440000000000055e+03 1.061865789504368829e+00 1.356850742255444053e-01
1.059683999999999969e+03 1.296530669072595510e+00 1.703200509306593835e-01
1.059928000000000111e+03 1.317154303400199344e+00 1.532938419403086505e-01
1.060173000000000002e+03 1.071101682550181344e+00 1.245561712197754967e-01
1.060416999999999916e+03 1.151111070626810617e+00 1.383488814128586430e-01
1.060661000000000058e+03 1.276744100006337757e+00 1.666889683814233580e-01
1.060904999999999973e+03 9.665829166391406435e-01 1.168082885928925230e-01
1.061148999999999887e+03 8.124272704876717155e-01 8.843663804753815194e-02
1.061394000000000005e+03 7.049015268716847249e-01 8.700165093795300675e-02
1.061637999999999920e+03 1.067991881847617064e+00 1.228852991947945866e-01
1.061883000000000038e+03 1.082737933365483407e+00 1.259809872581279522e-01
1.062126999999999953e+03 9.632189586595841790e-01 1.145225968197718658e-01
1.062372000000000071e+03 1.014714571640092267e+00 1.194601206752122918e-01
1.062615999999999985e+03 9.746238024420493806e-01 1.157112739136354207e-01
1.062861000000000104e+03 8.693541676957006192e-01 1.019085777607947607e-01
1.063105999999999995e+03 9.825064992865774061e-01 1.157930586241564253e-01
1.063349999999999909e+03 9.129859860026162677e-01 1.018779225149967077e-01
1.063596000000000004e+03 9.193476977776503523e-01 1.096184069165172387e-01
1.063839999999999918e+03 1.024719628388356840e+00 1.288736629893953156e-01
1.064085000000000036e+03 1.077563779299921531e+00 1.299699503976416981e-01
1.064329999999999927e+03 8.716135093592436434e-01 1.065529329570940598e-01
1.064575000000000045e+03 1.035095563799636187e+00 1.217253821567411687e-01
1.064820999999999913e+03 9.742088944615103774e-01 1.128032916802533120e-01
1.065066000000000031e+03 8.789644447335248634e-01 9.768678830906994681e-02
1.065310999999999922e+03 8.635712907085681955e-01 8.872120385064033443e-02
1.065556000000000040e+03 8.456962370081902991e-01 8.828673419268029399e-02
1.065801999999999907e+03 9.868133114155596131e-01 1.059510707221188452e-01
1.066047000000000025e+03 7.746114116235441882e-01 7.989930122437589877e-02
1.066292999999999893e+03 8.090565158383894451e-01 8.709977501609249273e-02
1.066538000000000011e+03 8.208109892009345376e-01 8.403205899671051249e-02
1.066784000000000106e+03 9.139998614786389863e-01 9.144504573352922605e-02
1.067029999999999973e+03 1.004674617943426274e+00 1.065773132818027408e-01
1.067275000000000091e+03 8.481133732792499602e-01 8.819234276987424070e-02
1.067520999999999958e+03 7.825706571202610817e-01 8.715620516656238936e-02
1.067767000000000053e+03 8.576041736797004322e-01 1.012261378109208798e-01
1.068012999999999920e+03 8.214262357627589717e-01 9.382339363034621071e-02
1.068259000000000015e+03 7.761190430002703478e-01 8.989532443026410080e-02
1.068505000000000109e+03 7.402592275034753921e-01 8.947467157965487139e-02
1.068750999999999976e+03 8.693205476405256871e-01 8.356079919434067360e-02
1.068997000000000071e+03 8.105444918349186123e-01 8.327770026710068496e-02
1.069242999999999938e+03 9.197152606686496146e-01 9.510749890879445501e-02
1.069489000000000033e+03 9.234473689075729519e-01 9.274847223035183330e-02
1.069734999999999900e+03 7.477000147599563995e-01 7.850051065163510255e-02
1.069981999999999971e+03 8.229347692213476728e-01 8.501560738876771939e-02
1.070228000000000065e+03 1.027277166199878966e+00 1.149668160721803306e-01
1.070474999999999909e+03 8.846745299539915397e-01 1.018411032947462991e-01
1.070721000000000004e+03 9.757823441060934355e-01 1.064936476262420967e-01
1.070968000000000075e+03 1.036802403916216475e+00 1.172867709901643518e-01
1.071213999999999942e+03 7.773619539153650004e-01 8.983597596650685913e-02
1.071461000000000013e+03 7.566331793508854764e-01 7.917994241340692296e-02
1.071708000000000084e+03 8.510512474578485476e-01 9.158754880931659070e-02
1.071954999999999927e+03 8.457450936450542356e-01 8.799436738454774476e-02
1.072201999999999998e+03 9.780620527141183906e-01 9.877789354183717785e-02
