NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,REDSHIFT
spec-5809-56353-0704norm.dr16,53.09,[53.09],[-37854.11438],[-40839.09867],[240.6],[0.35],2.308
spec-0628-52083-0304norm.dr16,0,[],[],[],[],[],2.314
spec-6036-56093-0310norm.dr16,476.62,[476.62],[-37845.32347],[-42590.35772],[632.14],[0.43],2.314
spec-8524-57656-0969norm.dr16,151.06,[151.06],[-36825.8292],[-41304.49228],[327.55],[0.28],2.314
spec-6305-56563-0032norm.dr16,464.89,[464.89],[-45214.91207],[-50462.0435],[661.07],[0.47],2.32
spec-7667-57580-0430norm.dr16,125.73,[125.73],[-46428.47809],[-50193.72642],[301.02],[0.31],2.32
spec-4419-55867-0178norm.dr16,271.57,[271.57],[-35496.14147],[-39572.99625],[550.22],[0.4],2.362
spec-9446-58082-0782norm.dr16,0,[],[],[],[],[],2.362
spec-0790-52441-0583norm.dr16,149.4,[149.4],[-46153.37714],[-49718.42756],[321.39],[0.7],2.37
spec-6806-56419-0302norm.dr16,886.1,[886.1],[-43521.45824],[-51328.03256],[964.35],[0.52],2.37
spec-6786-56448-0829norm.dr16,125.62,[125.62],[-34924.88545],[-38596.49498],[497.21],[0.58],2.385
spec-6976-56448-0440norm.dr16,84.92,[84.92],[-34993.046],[-38392.71574],[417.54],[0.53],2.385
spec-6138-56236-0746norm.dr16,33.73,[33.73],[-46092.65256],[-48179.64727],[150.7],[0.5],2.395
spec-6138-56598-0754norm.dr16,31.23,[31.23],[-39737.01677],[-42040.43076],[178.29],[0.49],2.395
spec-5745-55998-0657norm.dr16,214.84,[214.84],[-34768.20243],[-39118.95992],[343.89],[0.36],2.466
spec-5745-56050-0657norm.dr16,238.49,[238.49],[-36401.65448],[-40814.12076],[538.33],[0.56],2.466
spec-6460-56334-0396norm.dr16,254.11,"[35.18, 218.93]",[-32382.44807 -34972.56457],[-34631.93872 -39661.61764],"[157.91, 372.13]","[0.27, 0.4]",2.466
spec-1933-53381-0566norm.dr16,247.57,[247.57],[-39402.97975],[-43600.76551],[442.2],[0.32],2.495
spec-5179-55957-0836norm.dr16,16.74,[16.74],[-46367.17191],[-48856.84528],[127.14],[0.22],2.495
