NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
spec-5494-55857-0549norm.dr16,163.61,"[155.38, 8.23]",[-37404.92935 -57784.85376],[-40187.82348 -58847.55174],"[203.24, 317.85]","[0.26, 0.6]"
spec-6587-56537-0015norm.dr16,4444.39,[4444.39],[-31003.36306],[-49368.10217],[4496.56],[0.74]
spec-7701-57356-0794norm.dr16,3755.38,[3755.38],[-32027.28916],[-50240.59287],[3783.66],[0.78]
spec-0948-52428-0370norm.dr16,154.67,[154.67],[-39734.89123],[-42038.13374],[221.76],[0.44]
spec-7089-56661-0060norm.dr16,1089.43,[1089.43],[-34296.77175],[-43931.17663],[1148.07],[0.48]
spec-6199-56220-0264norm.dr16,2366.07,[2366.07],[-31693.4921],[-42905.6779],[2408.15],[0.44]
spec-7618-56898-0268norm.dr16,1683.1,"[1378.46, 304.63]",[-33807.81533 -45606.61853],[-42837.93713 -49509.56396],"[1493.37, 314.88]","[0.38, 0.9]"
spec-1455-53089-0381norm.dr16,186.39,"[150.9, 35.49]",[-30867.57694 -45465.38102],[-33119.57013 -46745.84839],"[209.57, 253.94]","[0.37, 0.64]"
spec-6670-56389-0168norm.dr16,454.99,"[449.26, 5.73]",[-30867.57694 -45532.74964],[-34618.91843 -46543.82571],"[598.21, 199.8]","[0.4, 0.55]"
spec-6280-56570-0623norm.dr16,199.8,"[150.84, 48.95]",[-33990.76638 -37529.30833],[-37257.44046 -39226.62029],"[213.73, 84.04]","[0.28, 0.22]"
spec-7694-57359-0006norm.dr16,194.19,[194.19],[-33922.71962],[-37325.34785],[264.83],[0.33]
spec-1582-52939-0558norm.dr16,809.28,"[78.53, 73.21, 657.54]",[-31202.55973 -33999.37946 -54451.29976],[-32567.58851 -35225.21869 -58047.55415],"[362.15, 165.71, 928.17]","[1.34, 0.83, 1.49]"
spec-4485-55836-0092norm.dr16,906.86,[906.86],[-30041.34],[-36313.96954],[982.59],[0.78]
spec-2785-54537-0175norm.dr16,769.24,"[755.37, 13.87]",[-35479.1943  -45305.91771],[-44631.02839 -46451.86938],"[817.97, 66.96]","[0.43, 0.28]"
spec-5896-56047-0658norm.dr16,1434.92,[1434.92],[-33503.91814],[-43888.19979],[1497.62],[0.39]
spec-4341-55538-0324norm.dr16,957.27,"[658.78, 298.49]",[-32748.27764 -53893.76107],[-43409.99255 -58821.33412],"[776.25, 323.17]","[0.41, 0.3]"
spec-9312-57784-0360norm.dr16,2743.87,"[1841.0, 8.5, 894.37]",[-29948.98694 -46581.2263  -54361.22219],[-40906.35536 -47994.74076 -59219.35944],"[2033.69, 35.45, 944.67]","[0.51, 0.21, 0.45]"
spec-1709-53533-0576norm.dr16,2954.33,"[2755.68, 198.65]",[-32012.05656 -45179.49441],[-43423.98468 -48748.31635],"[2924.31, 275.01]","[0.68, 0.33]"
spec-5465-55988-0798norm.dr16,2453.82,"[2364.04, 89.77]",[-31602.50585 -54975.68178],[-42409.65116 -57373.3975 ],"[2440.57, 145.36]","[0.64, 0.28]"
spec-2582-54139-0485norm.dr16,391.89,[391.89],[-43442.32859],[-48363.15782],[538.51],[0.33]
spec-5320-55999-0336norm.dr16,108.22,"[15.6, 92.62]",[-43577.50518 -45872.34712],[-44995.5101  -48363.15782],"[87.39, 127.05]","[0.22, 0.22]"
spec-9587-57784-0340norm.dr16,0.0,[],[],[],[],[]
spec-1618-53116-0538norm.dr16,87.04,"[8.43, 78.61]",[-31198.83195 -35289.62695],[-32359.26335 -36582.32894],"[28.64, 109.04]","[0.21, 1.07]"
spec-5374-55947-0608norm.dr16,332.92,[332.92],[-32222.74415],[-38145.32759],[358.53],[0.5]
spec-2511-53882-0552norm.dr16,657.24,[657.24],[-32690.02802],[-40780.7092],[710.53],[0.31]
