NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,MAX DEPTH,AVERAGE DEPTH,VCENTRAL
spec-1793-53883-0520norm.dr16,3465.56,"[3454.02, 11.53]",[-32336.97213 -56559.23614],[-43880.78458 -57091.55048],"[4267.1, 55.78]","[0.65, 0.26]","[0.36950915220070363, 0.10486499740661698]",[-37714.25136072 -56938.31578177]
spec-5415-55982-0013norm.dr16,2189.71,[2189.71],[-32609.89484],[-41513.78659],[2848.66],[0.58],[0.31984465543091256],[-36753.80670693]
spec-1229-52723-0245norm.dr16,206.4,[206.4],[-52752.15633],[-53688.16446],[392.67],[0.7],[0.419602470738574],[-53295.69170326]
spec-5391-56000-0254norm.dr16,434.81,"[211.52, 223.29]",[-32470.21563 -52752.15633],[-38052.13114 -53755.07053],"[712.29, 441.58]","[0.23, 0.72]","[0.1276282632024296, 0.4404337491086127]",[-35447.84425556 -53292.02184585]
spec-5807-56329-0778norm.dr16,96.08,[96.08],[-40967.14476],[-43402.88252],[335.36],[0.17],[0.13768148535733732],[-42238.54223712]
spec-10429-58145-0655norm.dr16,432.78,"[71.19, 361.58]",[-36487.16699 -38254.0523 ],[-37778.6078  -43470.58505],"[212.2, 848.04]","[0.23, 0.26]","[0.16431230058545312, 0.16260187576331225]",[-37200.34187984 -41053.597781  ]
spec-11377-58434-0650norm.dr16,697.82,[697.82],[-36487.16699],[-43470.58505],[1345.45],[0.28],[0.19268297620673888],[-40027.45199558]
spec-6442-56369-0246norm.dr16,740.18,[740.18],[-35323.72578],[-41840.68523],[1313.24],[0.41],[0.20152386659983682],[-38592.82690212]
spec-10479-58159-0770norm.dr16,1688.76,"[1648.86, 31.29, 8.61]",[-34710.93222 -54748.0806  -57878.03825],[-43396.24587 -56081.57481 -58409.44496],"[2361.6, 154.89, 74.88]","[0.47, 0.26, 0.31]","[0.271894147581376, 0.11621282396659054, 0.1409622571088221]",[-38994.40774266 -55490.46647659 -58222.53482155]
spec-1732-53501-0445norm.dr16,53.86,"[4.39, 31.71, 4.36, 7.78, 5.62]",[-38527.66254 -39884.55987 -41443.05024 -44350.60216 -54956.85663],[-39409.78814 -40697.9691  -42255.28114 -45295.42251 -55556.88781],"[100.7, 108.44, 48.63, 71.09, 77.93]","[0.21, 0.21, 0.14, 0.16, 0.28]","[0.11413384933662751, 0.1333421230347673, 0.059907418147126586, 0.07526140316330197, 0.1299021390696014]","[-38922.8447223  -40375.06160538 -41894.89540227 -44844.50695149
 -55348.95816733]"
spec-5212-56016-0348norm.dr16,430.52,[430.52],[-36149.16344],[-38934.88925],[675.4],[0.36],[0.24246909304915082],[-37639.54401325]
spec-6674-56416-0693norm.dr16,1830.81,"[484.78, 338.18, 910.42, 97.42]",[-39356.64632 -42743.49316 -45444.91162 -55771.29273],[-42269.99845 -45175.03114 -50757.69208 -58299.39592],"[818.91, 539.86, 1336.57, 271.04]","[0.52, 0.51, 0.68, 0.39]","[0.2811341313410577, 0.22206155978178688, 0.25162878934520816, 0.10718260410723103]",[-40958.77204906 -44095.09861215 -48311.62164489 -56944.6073604 ]
spec-8221-58198-0399norm.dr16,1114.87,"[230.9, 351.39, 213.68, 255.08, 52.58, 8.03, 3.22]","[-39085.22966 -40712.68344 -43622.12603 -45714.68498 -49952.72408
 -56570.56541 -58033.77782]","[-40306.04939 -42675.74797 -45175.03114 -49079.74756 -50757.69208
 -57103.0285  -58565.09139]","[382.3, 537.22, 456.49, 504.32, 138.52, 79.1, 67.98]","[0.58, 0.55, 0.61, 0.46, 0.29, 0.31, 0.27]","[0.3132039121202421, 0.27363299484692766, 0.2939817943614068, 0.14995106417238516, 0.17210247390722846, 0.14853177918783683, 0.12797065983549108]","[-39776.92920294 -41687.65876131 -44370.87904049 -47597.43880742
 -50451.09653558 -56796.11194124 -58261.75231495]"
spec-6045-56072-0455norm.dr16,431.09,"[210.21, 220.88]",[-45117.138   -48417.21881],[-48081.01542 -49693.64808],"[509.34, 351.05]","[0.31, 0.52]","[0.1718210173281814, 0.2751114650010455]",[-46459.7375848  -49198.15233434]
spec-10730-58244-0836norm.dr16,555.76,[555.76],[-45724.12253],[-49693.64808],[895.0],[0.68],[0.22560351168065484],[-48166.4291183]
spec-0885-52379-0063norm.dr16,9.75,"[8.83, 0.92]",[-39407.80844 -54287.39164],[-40018.24401 -54821.30267],"[47.23, 44.41]","[0.17, 0.15]","[0.07740594172173, 0.08311491912979407]",[-39758.66640672 -54460.47167194]
spec-6674-56416-0964norm.dr16,407.75,"[400.33, 7.42]",[-35738.83258 -48323.92716],[-40357.11623 -49331.8455 ],"[804.23, 122.99]","[0.32, 0.24]","[0.1741285247307779, 0.1219911516532692]",[-38036.4522223  -48662.02812857]
spec-1272-52989-0064norm.dr16,222.53,"[40.59, 101.11, 33.49, 0.68, 46.66]",[-38023.84742 -39652.71885 -47759.71958 -53125.54012 -55128.89815],[-39313.56711 -41956.29675 -48835.55853 -53660.3242  -56927.6499 ],"[152.88, 303.3, 103.38, 49.57, 174.37]","[0.23, 0.41, 0.3, 0.25, 0.28]","[0.11855443991078833, 0.13164669589504957, 0.0960793540656851, 0.09276027064532369, 0.09692680308514444]","[-38580.13739617 -40680.4145638  -48324.94179987 -53426.34619252
 -56034.73435791]"
spec-5809-56353-0704norm.dr16,230.02,"[228.01, 2.01]",[-37955.85297 -55395.6893 ],[-40872.89519 -56128.76532],"[498.25, 57.14]","[0.35, 0.14]","[0.1708100616020269, 0.07793470732155722]",[-39372.97345748 -55799.91166706]
spec-0628-52083-0304norm.dr16,29.65,"[5.19, 24.46]",[-37165.73583 -55087.04088],[-37709.44252 -56486.46969],"[66.33, 121.74]","[0.3, 0.2]","[0.12204602925973017, 0.0869918309061856]",[-37434.84318452 -55825.16220602]
spec-6036-56093-0310norm.dr16,605.28,"[602.32, 0.9, 2.07]",[-37845.32347 -55420.46789 -56819.27226],[-42590.35772 -56086.82222 -57550.96389],"[1028.36, 59.88, 54.74]","[0.43, 0.15, 0.13]","[0.21676102975227377, 0.08983063598287219, 0.07479392480151602]",[-40383.12573984 -55702.56656176 -57256.3914016 ]
spec-8524-57656-0969norm.dr16,367.56,"[310.58, 56.98]",[-36825.8292  -47582.86831],[-41304.49228 -48591.61027],"[717.67, 147.27]","[0.28, 0.26]","[0.16024365203720517, 0.1460187125750936]",[-39003.46581371 -48179.71576444]
spec-6305-56563-0032norm.dr16,707.35,"[27.67, 646.84, 12.06, 20.77]",[-33752.77221 -45147.53897 -56143.80969 -57674.29828],[-34774.72907 -50462.0435  -56809.72867 -58538.07208],"[247.13, 1083.94, 85.3, 98.38]","[0.5, 0.47, 0.24, 0.22]","[0.24182062950410155, 0.20401809756340772, 0.12816649943381267, 0.1139509923925763]",[-34181.85138414 -47990.81978609 -56544.18485567 -58116.03960391]
spec-7667-57580-0430norm.dr16,268.59,"[2.06, 266.06, 0.46]",[-33752.77221 -46428.47809 -57208.86605],[-34297.96749 -50193.72642 -57807.25663],"[153.79, 619.33, 50.12]","[0.46, 0.31, 0.16]","[0.2821415030188387, 0.16447402752346993, 0.08381133297200624]",[-34034.72123523 -48273.20160864 -57548.59584525]
spec-4419-55867-0178norm.dr16,861.61,"[74.2, 533.6, 12.54, 5.0, 236.28]",[-33446.03723 -35693.79739 -40041.05368 -47270.23717 -55177.42709],[-34195.74097 -39634.32016 -40718.95187 -47808.70574 -56576.71555],"[182.39, 897.49, 86.32, 60.67, 352.19]","[0.48, 0.4, 0.2, 0.17, 0.49]","[0.24331074579786147, 0.2277581025056656, 0.1274268130464699, 0.11268990068214665, 0.25176218673201683]","[-33918.79660292 -37642.26999336 -40404.24646315 -47596.13995206
 -56076.89337357]"
spec-9446-58082-0782norm.dr16,202.92,"[52.47, 26.16, 123.47, 0.82]",[-44978.90792 -46260.05009 -55710.90846 -57042.5395 ],[-45788.24557 -47674.07449 -56576.71555 -57574.67193],"[112.35, 206.56, 256.64, 46.39]","[0.38, 0.48, 0.47, 0.13]","[0.13886785940689428, 0.14606228933384505, 0.29638367348496114, 0.0872170692354708]",[-45531.34885629 -46898.62436554 -56217.06627188 -57367.06704111]
spec-0790-52441-0583norm.dr16,315.69,"[267.3, 27.87, 1.21, 19.3]",[-45319.37071 -50900.96687 -52642.2002  -55180.58501],[-48820.32218 -51638.10665 -53177.33179 -55980.43113],"[537.63, 89.73, 35.45, 77.95]","[0.7, 0.29, 0.24, 0.19]","[0.1536425264245686, 0.12178634276383603, 0.06623827843127808, 0.09747891808169525]",[-47068.63444907 -51361.49591456 -52891.35825443 -55638.61401927]
spec-6806-56419-0302norm.dr16,959.56,[959.56],[-42685.14473],[-50431.58359],[1581.81],[0.52],[0.20426489932230782],[-46880.14617629]
spec-6786-56448-0829norm.dr16,483.11,[483.11],[-34924.88545],[-38596.49498],[786.14],[0.58],[0.2141082298015718],[-36618.23806289]
spec-6976-56448-0440norm.dr16,407.77,[407.77],[-34993.046],[-38392.71574],[693.3],[0.53],[0.203918285449119],[-36609.44940311]
spec-6138-56236-0746norm.dr16,329.73,"[7.19, 69.34, 96.8, 156.39]",[-38858.94271 -41096.3699  -45961.56478 -55615.59928],[-39401.64984 -41976.59222 -48048.85299 -56481.55593],"[41.13, 207.17, 259.77, 300.32]","[0.2, 0.37, 0.5, 0.68]","[0.07574764655290213, 0.23535620148925898, 0.12446320501421303, 0.346865690052834]",[-39086.79580673 -41512.02189007 -46995.17355327 -56154.36152886]
spec-6138-56598-0754norm.dr16,443.06,"[171.32, 39.16, 232.58]",[-39673.02417 -45961.56478 -55415.6669 ],[-41908.81026 -46635.40151 -56481.55593],"[402.82, 125.87, 400.08]","[0.5, 0.37, 0.75]","[0.1801830054217949, 0.1867504355238622, 0.3753704802718701]",[-40878.29100153 -46332.82839221 -56072.73923158]
spec-5745-55998-0657norm.dr16,371.84,"[51.4, 320.44]",[-32859.98113 -34768.20243],[-34495.84697 -39118.95992],"[196.23, 722.06]","[0.26, 0.36]","[0.11997470101064554, 0.1659725201770635]",[-33720.30582077 -37068.86083924]
