NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
spec-1732-53501-0445norm.dr16,0,[],[],[],[],[]
spec-5212-56016-0348norm.dr16,226.87,[226.87],[-35942.09495],[-38728.30842],[454.34],[0.36]
spec-6674-56416-0693norm.dr16,1314.11,"[370.49, 121.15, 789.33, 33.14]",[-39520.62114 -42906.95074 -45675.27175 -55932.36379],[-42433.5309  -45338.09111 -50919.75614 -58459.93088],"[595.69, 358.15, 934.77, 109.01]","[0.52, 0.51, 0.68, 0.39]"
spec-8221-58198-0399norm.dr16,243.59,"[20.84, 11.54, 211.2]",[-41011.97906 -43785.44247 -45810.13554],[-42839.21632 -45338.09111 -49242.12312],"[404.06, 338.33, 290.9]","[0.55, 0.61, 0.46]"
spec-6045-56072-0455norm.dr16,51.72,[51.72],[-44740.09439],[-47705.15271],[245.38],[0.31]
spec-10730-58244-0836norm.dr16,488.65,[488.65],[-45347.31463],[-49318.45959],[562.61],[0.68]
spec-0885-52379-0063norm.dr16,0,[],[],[],[],[]
spec-6674-56416-0964norm.dr16,328.28,[328.28],[-35671.57013],[-40290.12036],[422.05],[0.32]
spec-1272-52989-0064norm.dr16,55.1,"[32.3, 22.8]",[-39618.88469 -55095.62583],[-41922.53459 -56894.45479],"[140.16, 61.92]","[0.41, 0.28]"
spec-5809-56353-0704norm.dr16,113.4,[113.4],[-37854.11438],[-40839.09867],[240.6],[0.35]
spec-0628-52083-0304norm.dr16,0.0,[],[],[],[],[]
spec-6036-56093-0310norm.dr16,560.65,[560.65],[-37845.32347],[-42590.35772],[632.14],[0.43]
spec-8524-57656-0969norm.dr16,201.91,[201.91],[-36825.8292],[-41304.49228],[327.55],[0.28]
spec-6305-56563-0032norm.dr16,545.13,[545.13],[-45147.53897],[-50462.0435],[661.07],[0.47]
spec-7667-57580-0430norm.dr16,175.82,[175.82],[-46428.47809],[-50193.72642],[301.02],[0.31]
spec-4419-55867-0178norm.dr16,398.12,[398.12],[-35496.14147],[-39572.99625],[550.22],[0.4]
spec-9446-58082-0782norm.dr16,0.0,[],[],[],[],[]
spec-0790-52441-0583norm.dr16,175.17,[175.17],[-46153.37714],[-49718.42756],[321.39],[0.7]
spec-6806-56419-0302norm.dr16,905.5,[905.5],[-43521.45824],[-51328.03256],[964.35],[0.52]
spec-6786-56448-0829norm.dr16,241.11,[241.11],[-34924.88545],[-38596.49498],[497.21],[0.58]
spec-6976-56448-0440norm.dr16,175.17,[175.17],[-34993.046],[-38392.71574],[417.54],[0.53]
spec-6138-56236-0746norm.dr16,53.88,[53.88],[-46159.9852],[-48179.64727],[150.7],[0.5]
spec-6138-56598-0754norm.dr16,92.65,[92.65],[-39737.01677],[-42040.43076],[178.29],[0.49]
spec-5745-55998-0657norm.dr16,265.62,"[0.16, 265.46]",[-32928.22289 -34768.20243],[-34495.84697 -39118.95992],"[64.6, 343.89]","[0.26, 0.36]"
spec-5745-56050-0657norm.dr16,358.56,"[47.92, 301.75, 8.88]",[-32928.22289 -36469.59488 -44871.07527],[-34700.12643 -40814.12076 -46422.01142],"[167.64, 538.33, 115.39]","[0.52, 0.56, 0.44]"
spec-6460-56334-0396norm.dr16,363.13,"[82.63, 280.5]",[-32382.44807 -34972.56457],[-34631.93872 -39661.61764],"[157.91, 372.13]","[0.27, 0.4]"
