NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
spec-5745-56050-0657norm.dr16,727.61,"[7.46, 124.2, 34.58, 471.21, 5.29, 84.88]","[-31085.6576  -32859.98113 -35176.78722 -36401.65448 -42303.47102
 -44871.07527]","[-31836.66182 -34700.12643 -36061.38481 -40814.12076 -42912.25803
 -46422.01142]","[32.03, 167.64, 63.49, 538.33, 15.48, 115.39]","[0.2, 0.52, 0.32, 0.56, 0.18, 0.44]"
,,,,,,
spec-6460-56334-0396norm.dr16,485.2,"[146.89, 336.77, 1.53]",[-32382.44807 -34972.56457 -45478.30539],[-34631.93872 -39661.61764 -46017.73502],"[157.91, 372.13, 9.95]","[0.27, 0.4, 0.2]"
,,,,,,
spec-1933-53381-0566norm.dr16,464.46,"[437.26, 27.2]",[-39402.97975 -43938.51557],[-43600.76551 -45086.1505 ],"[442.2, 36.39]","[0.32, 0.26]"
,,,,,,
spec-5179-55957-0836norm.dr16,108.85,"[106.34, 2.51]",[-46367.17191 -57547.39911],[-48856.84528 -58079.18915],"[127.14, 7.29]","[0.22, 0.13]"
,,,,,,
spec-9609-58136-0331norm.dr16,459.59,[459.59],[-38385.01427],[-42924.71372],[504.94],[0.35]
,,,,,,
spec-1521-52945-0532norm.dr16,5306.14,"[4337.35, 968.79]",[-29961.89382 -54306.94165],[-45987.40244 -60027.4512 ],"[4492.08, 975.77]","[0.62, 0.41]"
,,,,,,
spec-5143-55828-0900norm.dr16,3028.68,"[2682.79, 345.89]",[-29961.83413 -54907.63109],[-44908.33809 -59364.54174],"[2804.19, 348.97]","[0.48, 0.23]"
,,,,,,
spec-5144-55829-0475norm.dr16,2273.21,"[2167.46, 105.75]",[-29961.89382 -56040.90149],[-43625.39701 -58833.69925],"[2275.14, 125.05]","[0.43, 0.22]"
,,,,,,
spec-9162-58040-0112norm.dr16,2548.74,"[2494.65, 54.09]",[-29961.89382 -55907.80092],[-43355.02507 -58103.38631],"[2611.68, 66.78]","[0.46, 0.18]"
,,,,,,
spec-9227-57932-0572norm.dr16,2908.94,"[2753.34, 140.96, 14.63]",[-29961.89382 -55707.74535 -59099.17449],[-43828.02909 -58634.56232 -59762.42082],"[2886.54, 161.86, 25.7]","[0.46, 0.22, 0.18]"
