SDSS name,Spec Files,Redshift,OG EHVO Obs,Tmin From EHVO,Tmin (restframe),Done,2000 BI LIMIT,500 BI LIMIT,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL 500,DEPTH,,Variable?,Variable between EHVO and Tmin epochs?,,,,,,
J075138.04+191310.0,spec-1582-52939-0558,2.861,0,750.3237503,750.3237503,TRUE,first 3,,1161.08,"[173.16, 125.16, 13.67]",[-31202.55973 -33999.37946 -35973.84233 ,[-32567.58851 -35225.21869 -36722.06751 ],"[362.15, 165.71, 139.29]","[1.34, 0.83, 0.59]",Noise so bad the depth went negative,TRUE,TRUE,,,,,,
J075138.04+191310.0,spec-4485-55836-0092,2.861,1,750.3237503,750.3237503,TRUE,1st,,1098.18,[951.52],[-30041.34 ],[-36313.96954  ],[982.59],[0.78],,TRUE,TRUE,,,,,,
J140958.02+220206.0,spec-2785-54537-0175,2.892,0,387.975334,387.975334,TRUE,First,,854.23,[811.66],[-35479.1943 ],[-44631.02839 ],[817.97],[0.43],,TRUE,TRUE,854.23,"[811.66, 36.96, 5.6]",[-35479.1943 -45305.91771 -47192.76325],[-44631.02839 -46451.86938 -47731.05451],"[817.97, 66.96, 40.71]","[0.43, 0.28, 0.25]"
J140958.02+220206.0,spec-5896-56047-0658,2.892,1,387.975334,387.975334,TRUE,first,,1477.59,[1477.59],[-33503.91814],[-43888.19979],[1497.62],[0.39],,TRUE,TRUE,,,,,,
J025334.18-031812.7,spec-4341-55538-0324,2.978,0,564.6053293,564.6053293,TRUE,"FIRST NOT LAST, GRAB OLD VALUES",,1034.07,[728.14],[-32748.27764],[-43409.99255 ],[776.25],[0.41],,TRUE,TRUE,,,,,,
J025334.18-031812.7,spec-9312-57784-0360,2.978,1,564.6053293,564.6053293,TRUE,"FIRST NOT LAST, GRAB OLD VALUES",,2893.47,[1958.0],[-29948.98694 ],[-40906.35536 ],[2033.69],[0.51,,TRUE,TRUE,,,,,,
J143212.86+113953.1,spec-1709-53533-0576,3.003,0,613.2900325,613.2900325,TRUE,first,,3101.49,[2861.73],[-32012.05656],[-43423.98468 ],[2924.31],[0.68],,FALSE,FALSE,Probably?,,,,,
J143212.86+113953.1,spec-5465-55988-0798,3.003,1,613.2900325,613.2900325,TRUE,first,,2542.01,[2419.52],[-31602.50585],[-42409.65116  ],[2440.57],[0.64],,FALSE,FALSE,,,,,,
J094734.19+142116.9,spec-5320-55999-0336,3.031,1,442.818,442.818,TRUE,,,188.71,"[66.63, 122.08]",[-43577.50518 -45872.34712],[-44995.5101 -48363.15782],"[87.39, 127.05]","[0.22, 0.22]",,TRUE,TRUE,,,,,,
J094734.19+142116.9,spec-9587-57784-0340,3.031,0,442.818,442.818,TRUE,,,33.71,"[26.06, 7.65]",[-43915.28598 -47758.02168],[-44860.52689 -48564.9856 ],"[61.47, 26.45]","[0.19, 0.19]",,TRUE,TRUE,,,,,,
