SDSS name,Spec Files,BI_limit,Smooth?,BI Value,Vmin,Vmax,If multiple troughs: Vmin,Vmax,Ran through absorption?,EW,Depth,Notes,Observation Time Frame (days),Rest Time Frame (days),Redshift,Normalization Anchor Points,,,BI TOTAL 2000,BI INDIVIDUAL 2000,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,,BI TOTAL 1000,BI INDIVIDUAL 1000,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,,BI TOTAL 500,BI INDIVIDUAL 500,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,
J093208.77+314328.0,spec-11377-58434-0650,2000,no,1054.64,-35237.67256,-43918.84368,,,yes,,,,,,2.089,"4080, 4375, 5250",,,533.38,[533.38],[-36462.30814],[-43445.88292],[719.27],[0.28],,630.33,[630.33],[-36462.30814],[-43445.88292],[719.27],[0.28],,697.84,[697.84],[-36462.30814],[-43445.88292],[719.27],[0.28],
J110018.52+314122.5,spec-6442-56369-0246,2000,no,626.96,-35211.77696,-41796.97003,n/a,n/a,yes,,,,1790,578.7261558,2.093,"4090, 4385, 5400",,,626.96,[626.96],[-35211.77696],[-41796.97003],[755.04],[0.41],,726.35,[726.35],[-35211.77696],[-41796.97003],[755.04],[0.41],,740.21,[740.21],[-35279.76127],[-41796.97003],[755.04],[0.41],
J110018.52+314122.5,spec-10479-58159-0770,2000,no,1160.57,-35007.5488,-43352.59641,n/a,n/a,yes,,,,,,2.093,"4090, 4385, 5400",,,1433.63,[1433.63],[-34666.94643],[-43352.59641],[1673.79],[0.47],,1617.9,"[1595.28, 22.62]",[-34666.94643 -54704.98357],[-43352.59641 -56038.55107],"[1673.79, 48.03]","[0.47, 0.26]",,1688.83,"[1648.92, 31.29, 8.61]",[-34666.94643 -54704.98357 -57835.11603],[-43352.59641 -56038.55107 -58366.55338],"[1673.79, 48.03, 29.39]","[0.47, 0.26, 0.31]",
J162122.54+075808.4,spec-1732-53501-0445,,,,,,,,,,,,,,2.138,"4050, 4450, 5335",,,0,[],[],[],[],[],,0,[],[],[],[],[],,54.14,"[4.55, 31.86, 4.41, 7.8, 5.52]",[-38321.00816 -39678.15359 -41236.93954 -44145.07326 -54753.78526],[-39203.29407 -40491.71567 -42049.32899 -45090.09119 -55353.9712 ],"[24.48, 38.92, 5.89, 14.97, 38.37]","[0.21, 0.21, 0.14, 0.16, 0.28]",
J162122.54+075808.4,spec-5212-56016-0348,,,,,,,,,,,,2515,801.4659018,2.138,"4050, 4450, 5335",,,113.64,[113.64],[-35942.09495],[-38728.30842],[454.34],[0.36],,362.49,[362.49],[-35942.09495],[-38728.30842],[454.34],[0.36],,430.59,[430.59],[-35942.09495],[-38728.30842],[454.34],[0.36],
J123615.42+515917.9,spec-6674-56416-0693,2000,no,,,,,,,,,,1782,566.6136725,2.145,"4050, 4600, 5300",,,1071.07,"[287.94, 57.09, 712.61, 13.43]",[-39520.62114 -42906.95074 -45607.92612 -55932.36379],[-42433.5309  -45338.09111 -50919.75614 -58459.93088],"[595.69, 358.15, 934.77, 109.01]","[0.52, 0.51, 0.68, 0.39]",,1595.12,"[411.94, 293.32, 849.92, 39.94]",[-39520.62114 -42906.95074 -45675.27175 -56065.6676 ],[-42433.5309  -45338.09111 -50919.75614 -58459.93088],"[595.69, 358.15, 934.77, 109.01]","[0.52, 0.51, 0.68, 0.39]",,1830.49,"[484.71, 338.12, 910.26, 97.4]",[-39520.62114 -42906.95074 -45607.92612 -55932.36379],[-42433.5309  -45338.09111 -50919.75614 -58459.93088],"[595.69, 358.15, 934.77, 109.01]","[0.52, 0.51, 0.68, 0.39]",
J123615.42+515917.9,spec-8221-58198-0399,2000,no,,,,,,,,,,,,2.145,"4120, 4500, 5280",,,199.25,[199.25],[-45944.97235],[-49242.12312],[290.9],[0.46],,558.33,"[41.6, 186.72, 97.98, 232.02]",[-39249.24409 -40876.45627 -43785.44247 -45810.13554],[-40469.8835  -42839.21632 -45338.09111 -49242.12312],"[289.1, 404.06, 338.33, 290.9]","[0.58, 0.55, 0.61, 0.46]",,1114.69,"[230.86, 351.34, 213.65, 255.03, 52.57, 8.02, 3.21]","[-39249.24409 -40876.45627 -43785.44247 -45877.65373 -50114.93889
 -56731.46954 -58194.37021]","[-40469.8835  -42839.21632 -45338.09111 -49242.12312 -50919.75614
 -57263.82011 -58725.56863]","[289.1, 404.06, 338.33, 290.9, 75.98, 42.09, 31.25]","[0.58, 0.55, 0.61, 0.46, 0.29, 0.31, 0.27]",
J162115.06+400732.3,spec-6045-56072-0455,,,,,,,,,,,,2172,677.0573566,2.208,"4150, 4750, 5455",,,28.8,[28.8],[-44740.09439],[-47705.15271],[245.38],[0.31],,248.73,"[142.11, 106.62]",[-44740.09439 -48041.49482],[-47705.15271 -49318.45959],"[245.38, 248.45]","[0.31, 0.52]",,431.26,"[210.29, 220.97]",[-44740.09439 -48041.49482],[-47705.15271 -49318.45959],"[245.38, 248.45]","[0.31, 0.52]",
J162115.06+400732.3,spec-10730-58244-0836,,,,,,,,,,,,,,2.208,"4150, 4750, 5500",,,420.51,[420.51],[-45347.31463],[-49318.45959],[562.61],[0.68],,543.16,[543.16],[-45347.31463],[-49318.45959],[562.61],[0.68],,555.99,[555.99],[-45347.31463],[-49318.45959],[562.61],[0.68],
J124518.57+515538.2,spec-0885-52379-0063,2000,no,276.6,-35671.57013,-40290.12036,n/a,n/a,yes,,,,1782,540.8194234,2.295,"4230, 4760, 5600",,,0,[],[],[],[],[],,0,[],[],[],[],[],,9.75,"[8.83, 0.92]",[-39340.75513 -54221.39599],[-39951.22747 -54755.35122],"[13.87, 19.65]","[0.17, 0.15]",
J124518.57+515538.2,spec-6674-56416-0964,2000,no,1535.28,-38910.00632,-49242.12312,n/a,n/a,yes,,,,,,2.295,"4230, 4760, 5600",,,276.6,[276.6],[-35671.57013],[-40290.12036],[422.05],[0.32],,363.04,"[361.33, 1.7]",[-35671.57013 -48257.46725],[-40290.12036 -49265.46027],"[422.05, 48.34]","[0.32, 0.24]",,407.77,"[400.35, 7.42]",[-35671.57013 -48257.46725],[-40290.12036 -49265.46027],"[422.05, 48.34]","[0.32, 0.24]",
J090833.41+325434.6,spec-1272-52989-0064,,,,,,,,,,,,,,2.308,"4275, 4780, 5625",,,13.57,[13.57],[-39686.77787],[-41922.53459],[140.16],[0.41],,127.74,"[22.08, 62.93, 1.82, 40.9]",[-37921.96837 -39551.13431 -47726.15684 -55028.98352],[-39279.7227  -41922.53459 -48802.0356  -56894.45479],"[73.26, 140.16, 45.79, 61.92]","[0.28, 0.41, 0.3, 0.28]",,222.54,"[40.59, 101.11, 33.49, 0.68, 46.66]",[-37989.9648  -39618.88469 -47726.15684 -53092.18473 -55095.62583],[-39279.7227  -41922.53459 -48802.0356  -53626.99069 -56894.45479],"[73.26, 140.16, 45.79, 21.53, 61.92]","[0.23, 0.41, 0.3, 0.25, 0.28]",
J090833.41+325434.6,spec-5809-56353-0704,2000,no,53.09,-37854.11438,-40839.09867,,,,,,,3364,1016.928658,2.308,"4275, 4780, 5625",,,53.09,[53.09],[-37854.11438],[-40839.09867],[240.6],[0.35],,169.5,[169.5],[-37854.11438],[-40839.09867],[240.6],[0.35],,230.03,"[228.01, 2.01]",[-37921.96837 -55362.42827],[-40839.09867 -56095.53561],"[240.6, 6.19]","[0.35, 0.14]",
J163514.75+415230.2,spec-0628-52083-0304,,,,,,,,,,,,,,2.314,"4265. 4900, 5640",,,0,[],[],[],[],[],,6.92,[6.92],[-55153.63893],[-56486.46969],[38.54],[0.2],,29.65,"[5.19, 24.46]",[-37165.73583 -55087.04088],[-37709.44252 -56486.46969],"[30.82, 38.54]","[0.3, 0.2]",
J163514.75+415230.2,spec-6036-56093-0310,,,,,,,,,,,,,,2.314,"4265. 4900, 5640",,,476.62,[476.62],[-37845.32347],[-42590.35772],[632.14],[0.43],,594.45,[594.45],[-37913.1836],[-42590.35772],[632.14],[0.43],,605.28,"[602.32, 0.9, 2.07]",[-37845.32347 -55420.46789 -56819.27226],[-42590.35772 -56086.82222 -57550.96389],"[632.14, 11.14, 4.38]","[0.43, 0.15, 0.13]",
J163514.75+415230.2,spec-8524-57656-0969,,,,,,,,,,,,5573,1681.653591,2.314,"4265. 4900, 5640",,,151.06,[151.06],[-36825.8292],[-41304.49228],[327.55],[0.28],,295.79,"[288.07, 7.73]",[-36825.8292  -47515.52936],[-41304.49228 -48591.61027],"[327.55, 63.31]","[0.28, 0.26]",,367.56,"[310.58, 56.98]",[-36825.8292  -47582.86831],[-41304.49228 -48591.61027],"[327.55, 63.31]","[0.28, 0.26]",
J234150.71+244411.1,spec-6305-56563-0032,,,,,,,,,,,,,,2.32,"4270, 4795, 5660",,,464.89,[464.89],[-45214.91207],[-50462.0435],[661.07],[0.47],,633.89,"[5.04, 628.85]",[-33752.77221 -45147.53897],[-34774.72907 -50462.0435 ],"[170.21, 661.07]","[0.5, 0.47]",,707.35,"[27.67, 646.84, 12.06, 20.77]",[-33752.77221 -45147.53897 -56143.80969 -57674.29828],[-34774.72907 -50462.0435  -56809.72867 -58538.07208],"[170.21, 661.07, 32.76, 27.84]","[0.5, 0.47, 0.24, 0.22]",
J234150.71+244411.1,spec-7667-57580-0430,,,,,,,,,,,,1017,306.3253012,2.32,"4270, 4795, 5660",,,125.73,[125.73],[-46428.47809],[-50193.72642],[301.02],[0.31],,243.91,[243.91],[-46428.47809],[-50193.72642],[301.02],[0.31],,268.59,"[2.06, 266.06, 0.46]",[-33752.77221 -46428.47809 -57208.86605],[-34297.96749 -50193.72642 -57807.25663],"[110.32, 301.02, 7.13]","[0.46, 0.31, 0.16]",
J004300.26+045718.6,spec-4419-55867-0178,2000,no,271.57,-35496.14147,-39572.99625,n/a,n/a,yes,,,,2215,658.8340274,2.362,"4280, 4855, 5725",,,271.57,[271.57],[-35496.14147],[-39572.99625],[550.22],[0.4],,628.53,"[503.02, 125.51]",[-35496.14147 -55117.12592],[-39572.99625 -56516.52292],"[550.22, 241.45]","[0.4, 0.49]",,861.66,"[74.2, 533.63, 12.54, 5.0, 236.3]",[-33384.39952 -35632.2675  -39979.75225 -47209.37377 -55117.12592],[-34134.13844 -39572.99625 -40657.68843 -47747.87787 -56516.52292],"[119.37, 550.22, 33.07, 16.38, 241.45]","[0.48, 0.4, 0.2, 0.17, 0.49]",
J004300.26+045718.6,spec-9446-58082-0782,2000,no,0,n/a,n/a,n/a,n/a,yes,,,,,,2.362,"4280, 4855, 5690",,,0,[],[],[],[],[],,18.74,[18.74],[-46199.12112],[-47613.2377],[87.68],[0.48],,202.94,"[52.47, 26.17, 123.48, 0.82]",[-44917.89783 -46199.12112 -55650.64836 -56982.38361],[-45727.28646 -47613.2377  -56516.52292 -57514.55837],"[58.47, 87.68, 188.96, 6.4]","[0.38, 0.48, 0.47, 0.13]",
J144412.36+582636.9,spec-0790-52441-0583,,,,,,,,,,,No place to put the anchors that fits both sides of Continuum,,,2.37,"4380, 4870, 5730 Interim",,,149.4,[149.4],[-46153.37714],[-49718.42756],[321.39],[0.7],,251.55,[251.55],[-46153.37714],[-49718.42756],[321.39],[0.7],,315.38,"[267.04, 27.84, 1.21, 19.28]",[-46220.89161 -51796.92329 -53536.28998 -56071.84219],[-49718.42756 -52533.28043 -54070.8354  -56870.76839],"[321.39, 47.55, 12.14, 31.95]","[0.7, 0.29, 0.24, 0.19]",
J144412.36+582636.9,spec-6806-56419-0302,,,,,,,,,,,,3978,1180.41543,2.37,"4380, 4870, 5730",,,886.1,[886.1],[-43521.45824],[-51328.03256],[964.35],[0.52],,951.07,[951.07],[-43521.45824],[-51328.03256],[964.35],[0.52],,958.62,[958.62],[-43589.06983],[-51328.03256],[964.35],[0.52],
J160852.73+584513.5,spec-6786-56448-0829,,,,,,,,,,,,,,2.385,"4360, 4890, 5775",,,125.62,[125.62],[-34924.88545],[-38596.49498],[497.21],[0.58],,407.06,[407.06],[-34924.88545],[-38596.49498],[497.21],[0.58],,483.11,[483.11],[-34924.88545],[-38596.49498],[497.21],[0.58],
J160852.73+584513.5,spec-6976-56448-0440,,,,,,,,,,,,0,0,2.385,"4360, 4890, 5775",,,84.92,[84.92],[-34993.046],[-38392.71574],[417.54],[0.53],,329.5,[329.5],[-34993.046],[-38392.71574],[417.54],[0.53],,407.77,[407.77],[-34993.046],[-38392.71574],[417.54],[0.53],
J234448.62+165312.2,spec-6138-56236-0746,,,,,,,,,,,,,,2.395,"4465, 4485, 5743 Correct",,,33.73,[33.73],[-46092.65256],[-48179.64727],[150.7],[0.5],,77.01,"[13.31, 63.7]",[-41092.59154 -46227.45857],[-42108.20422 -48179.64727],"[139.27, 150.7]","[0.37, 0.4]",,329.68,"[7.19, 69.34, 96.79, 156.36]",[-38990.93175 -41228.09129 -46092.65256 -55745.22047],[-39533.57533 -42108.20422 -48179.64727 -56611.03197],"[11.91, 139.27, 150.7, 244.92]","[0.2, 0.37, 0.5, 0.68]",
J234448.62+165312.2,spec-6138-56598-0754,,,,,,,,,,,,362,106.6273932,2.395,"4465, 4865, 5800",,,31.23,[31.23],[-39737.01677],[-42040.43076],[178.29],[0.49],,166.42,"[138.69, 27.72]",[-39737.01677 -55545.32128],[-42040.43076 -56611.03197],"[178.29, 309.69]","[0.49, 0.75]",,413.37,"[152.93, 36.03, 224.41]",[-39804.91756 -46092.65256 -55545.32128],[-42040.43076 -46766.39597 -56611.03197],"[178.29, 70.71, 309.69]","[0.49, 0.35, 0.75]",
J100614.42+340856.6,spec-5745-55998-0657,2000,no,214.84,-34768.20243,39118.95992,,,,,,,336,96.94171956,2.466,"4010, 7000, 9000",,,214.84,[214.84],[-34768.20243],[-39118.95992],[343.89],[0.36],,322.57,"[24.37, 298.2]",[-32859.98113 -34768.20243],[-34495.84697 -39118.95992],"[64.6, 343.89]","[0.26, 0.36]",,371.84,"[51.4, 320.44]",[-32859.98113 -34768.20243],[-34495.84697 -39118.95992],"[64.6, 343.89]","[0.26, 0.36]",
J100614.42+340856.6,spec-5745-56050-0657,2000,no,,,,,,,,,,,,2.466,"4010, 7000, 9000",,,238.49,[238.49],[-36401.65448],[-40814.12076],[538.33],[0.56],,580.83,"[107.92, 404.34, 68.57]",[-32859.98113 -36333.53949 -45073.66278],[-34700.12643 -40814.12076 -46422.01142],"[167.64, 538.33, 115.39]","[0.52, 0.56, 0.44]",,727.61,"[7.46, 124.2, 34.58, 471.21, 5.29, 84.88]","[-31085.6576  -32859.98113 -35176.78722 -36401.65448 -42303.47102
 -44871.07527]","[-31836.66182 -34700.12643 -36061.38481 -40814.12076 -42912.25803
 -46422.01142]","[32.03, 167.64, 63.49, 538.33, 15.48, 115.39]","[0.2, 0.52, 0.32, 0.56, 0.18, 0.44]",
J100614.42+340856.6,spec-6460-56334-0396,2000,no,"39.05,255.9",-32382.44807,-34631.93872,-34972.56457,-39865.15525,yes,,,,,,2.466,"4010, 7000, 9000",,,254.11,"[35.18, 218.93]",[-32382.44807 -34972.56457],[-34631.93872 -39661.61764],"[157.91, 372.13]","[0.27, 0.4]",,437.01,"[134.1, 302.91]",[-32382.44807 -34972.56457],[-34631.93872 -39661.61764],"[157.91, 372.13]","[0.27, 0.4]",,485.2,"[146.89, 336.77, 1.53]",[-32382.44807 -34972.56457 -45478.30539],[-34631.93872 -39661.61764 -46017.73502],"[157.91, 372.13, 9.95]","[0.27, 0.4, 0.2]",
J085824.80+265903.0,spec-1933-53381-0566,2000,no,233.73,-39402.97975,-43600.76551,,,yes,,,,,,2.495,"4475, 5050, 5940",,,247.57,[247.57],[-39402.97975],[-43600.76551],[442.2],[0.32],,399.35,"[396.24, 3.11]",[-39402.97975 -44073.62982],[-43600.76551 -45086.1505 ],"[442.2, 36.39]","[0.32, 0.26]",,464.46,"[437.26, 27.2]",[-39402.97975 -43938.51557],[-43600.76551 -45086.1505 ],"[442.2, 36.39]","[0.32, 0.26]",
J085824.80+265903.0,spec-5179-55957-0836,2000,no,16.74,-46367.17191,-48856.84528,,,,,,,4755,1360.515021,2.495,"4475, 5050, 5940",,,16.74,[16.74],[-46367.17191],[-48856.84528],[127.14],[0.22],,70.55,[70.55],[-46367.17191],[-48856.84528],[127.14],[0.22],,108.85,"[106.34, 2.51]",[-46367.17191 -57547.39911],[-48856.84528 -58079.18915],"[127.14, 7.29]","[0.22, 0.13]",
J085824.80+265903.0,spec-9609-58136-0331,2000,no,489.71,-37569.84821,-43397.93405,,,yes,,,,,,2.495,"4475, 5050, 5940",,,341.51,[341.51],[-38385.01427],[-42924.71372],[504.94],[0.35],,426.21,[426.21],[-38385.01427],[-42924.71372],[504.94],[0.35],,459.59,[459.59],[-38385.01427],[-42924.71372],[504.94],[0.35],
J213054.48+011500.5,spec-1521-52945-0532,,,,,,,,,,,Chosen to be conservative on the absorption just left of the Ly-a + SIV,,,2.548,"5250, 6000, 7000",,,4535.95,"[3792.82, 743.13]",[-29961.89382 -54306.94165],[-45987.40244 -60027.4512 ],"[4492.08, 975.77]","[0.62, 0.41]",,5106.06,"[4189.94, 916.12]",[-29961.89382 -54306.94165],[-45987.40244 -60027.4512 ],"[4492.08, 975.77]","[0.62, 0.41]",,5306.14,"[4337.35, 968.79]",[-29961.89382 -54306.94165],[-45987.40244 -60027.4512 ],"[4492.08, 975.77]","[0.62, 0.41]",
J213054.48+011500.5,spec-5143-55828-0900,,,,,,,,,,,,,,2.548,"5250, 6000, 7000",,,2600.12,"[2377.85, 222.27]",[-29961.83413 -54907.63109],[-44908.33809 -59364.54174],"[2804.19, 348.97]","[0.48, 0.23]",,2894.92,"[2584.08, 310.84]",[-29961.83413 -54907.63109],[-44908.33809 -59364.54174],"[2804.19, 348.97]","[0.48, 0.23]",,3028.68,"[2682.79, 345.89]",[-29961.83413 -54907.63109],[-44908.33809 -59364.54174],"[2804.19, 348.97]","[0.48, 0.23]",
J213054.48+011500.5,spec-5144-55829-0475,,,,,,,,,,,RENORMALIZED SCIENCE EPOCH,5095,1436.020293,2.548,"5250, 6000, 7000",,,1896.5,"[1870.01, 26.49]",[-29961.89382 -55907.80092],[-43625.39701 -58833.69925],"[2275.14, 125.05]","[0.43, 0.22]",,2168.96,"[2079.67, 89.29]",[-29961.89382 -55907.80092],[-43625.39701 -58833.69925],"[2275.14, 125.05]","[0.43, 0.22]",,2273.21,"[2167.46, 105.75]",[-29961.89382 -56040.90149],[-43625.39701 -58833.69925],"[2275.14, 125.05]","[0.43, 0.22]",
J213054.48+011500.5,spec-9162-58040-0112,,,,,,,,,,,,,,2.548,"5250, 6000, 7000",,,2175.7,"[2164.01, 11.69]",[-29961.89382 -55907.80092],[-43355.02507 -58103.38631],"[2611.68, 66.78]","[0.46, 0.18]",,2441.7,"[2392.49, 49.21]",[-29961.89382 -55907.80092],[-43355.02507 -58103.38631],"[2611.68, 66.78]","[0.46, 0.18]",,2548.74,"[2494.65, 54.09]",[-29961.89382 -55907.80092],[-43355.02507 -58103.38631],"[2611.68, 66.78]","[0.46, 0.18]",
J213054.48+011500.5,spec-9227-57932-0572,,,,,,,,,,,,,,2.548,"5250, 6000, 7000",,,2437.01,"[2375.51, 61.5]",[-29961.89382 -55707.74535],[-43828.02909 -58634.56232],"[2886.54, 161.86]","[0.46, 0.22]",,2764.33,"[2630.13, 134.21]",[-29961.89382 -55707.74535],[-43828.02909 -58634.56232],"[2886.54, 161.86]","[0.46, 0.22]",,2908.94,"[2753.34, 140.96, 14.63]",[-29961.89382 -55707.74535 -59099.17449],[-43828.02909 -58634.56232 -59762.42082],"[2886.54, 161.86, 25.7]","[0.46, 0.22, 0.18]",
J000022.93-022716.4,spec-4354-55810-0356,2000,no,59.68,-37512.5418,-40091.63203,,,yes,,,,,,2.61,"4700, 5300, 6135",,,0,[],[],[],[],[],,0,[],[],[],[],[],,3.37,[3.37],[-53587.9674],[-54255.91158],[43.73],[0.35],
