,objectName,spec1,spec2,I01,I02,I1,I2
249,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,16.710835,13.852476,13.867254
250,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,17.083101,15.426359,15.5808525
251,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,16.619074,15.426359,15.440957
252,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,15.768175,13.009282,13.028477
253,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,18.951937,15.426359,15.428457
254,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,16.278032,14.313696,14.358685
255,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,15.52331,13.128186,13.154079
256,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,15.644941,13.354942,13.527513
257,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,15.446633,13.354942,13.466146
258,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,15.851126,14.97746,14.932034
259,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,15.372984,13.354942,13.49381
260,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,15.647024,13.128186,13.26181
261,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,13.7127285,12.842907,12.790834
262,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,16.26704,13.354942,13.366463
263,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,14.213348,13.673199,13.322609
264,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,16.629082,14.313696,14.222239
265,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,14.868204,12.9074955,12.607369
266,141007.73+541203.4,"Spectra(plate='7339', mjd='56795', fiber='0583')","Spectra(plate='7340', mjd='57185', fiber='0581')",17.111023,15.156746,14.313696,14.269779
267,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,10.399949,9.274162,9.461412
268,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,10.233603,9.274162,9.4507265
269,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,10.181771,9.274162,9.351994
270,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,9.654495,8.583464,8.569101
271,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,9.666273,8.1577,8.131459
272,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,10.170025,8.583464,8.808901
273,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,9.779228,7.2436376,7.5866795
274,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,9.926754,7.569612,7.6822777
275,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,10.135249,8.150975,8.442921
276,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,10.247585,9.274162,9.144768
277,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,10.093897,9.274162,9.113025
278,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,10.367371,9.274162,9.372237
279,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,9.423014,9.274162,9.186416
280,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,9.879741,8.583464,8.867415
281,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,9.83338,8.583464,8.678695
282,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,10.159002,9.274162,9.364112
283,141020.78+531316.8,"Spectra(plate='7338', mjd='57135', fiber='0615')","Spectra(plate='7339', mjd='57435', fiber='0611')",8.59779,9.719827,8.150975,8.105805
284,141056.25+541608.5,"Spectra(plate='7339', mjd='56772', fiber='0586')","Spectra(plate='7340', mjd='56837', fiber='0623')",11.894777,11.530153,12.069999,11.83668
285,141056.25+541608.5,"Spectra(plate='7339', mjd='56772', fiber='0586')","Spectra(plate='7340', mjd='56837', fiber='0623')",11.894777,11.825825,11.145229,10.899646
286,141056.25+541608.5,"Spectra(plate='7339', mjd='56772', fiber='0586')","Spectra(plate='7340', mjd='56837', fiber='0623')",11.894777,12.044989,12.033788,11.9661
287,141056.25+541608.5,"Spectra(plate='7339', mjd='56772', fiber='0586')","Spectra(plate='7340', mjd='56837', fiber='0623')",11.894777,11.188074,11.839659,11.830975
288,141056.25+541608.5,"Spectra(plate='7339', mjd='56772', fiber='0586')","Spectra(plate='7340', mjd='56837', fiber='0623')",11.894777,10.669052,11.839659,11.472108
289,141321.05+092204.8,"Spectra(plate='5457', mjd='55976', fiber='0578')","Spectra(plate='1810', mjd='53794', fiber='0516')",20.963352,20.059244,15.136549,15.227611
290,141334.38+421201.7,"Spectra(plate='6059', mjd='56093', fiber='0438')","Spectra(plate='1347', mjd='52823', fiber='0539')",9.554791,5.6280313,1.41499,1.2689878
291,141415.41+163915.0,"Spectra(plate='5454', mjd='56015', fiber='0104')","Spectra(plate='2745', mjd='54231', fiber='0564')",10.958034,8.098117,7.1942434,6.6182065
292,141957.14+144951.0,"Spectra(plate='5461', mjd='56018', fiber='0470')","Spectra(plate='2746', mjd='54232', fiber='0184')",7.496805,10.532026,2.3673112,2.3728514
293,142248.67+520412.1,"Spectra(plate='7030', mjd='56448', fiber='0216')","Spectra(plate='1045', mjd='52725', fiber='0604')",12.619865,16.902582,4.953149,4.729636
294,142437.67+394535.5,"Spectra(plate='5170', mjd='56063', fiber='0154')","Spectra(plate='10752', mjd='58488', fiber='0740')",10.181123,6.4194126,0.54513156,0.39392748
295,142519.45+113925.6,"Spectra(plate='5460', mjd='56000', fiber='0866')","Spectra(plate='1707', mjd='53885', fiber='0589')",10.5916,14.682912,8.275103,8.575735
296,143244.94+525150.4,"Spectra(plate='6718', mjd='56398', fiber='0612')","Spectra(plate='1326', mjd='52764', fiber='0063')",8.5427,6.775074,2.649915,2.8833141
297,143244.94+525150.4,"Spectra(plate='6718', mjd='56398', fiber='0612')","Spectra(plate='1326', mjd='52764', fiber='0063')",8.5427,6.198905,2.7358313,2.5593
298,143820.44+082236.7,"Spectra(plate='5472', mjd='55976', fiber='0500')","Spectra(plate='1813', mjd='53903', fiber='0393')",5.712421,4.920597,4.9278345,5.1127954
299,143821.60+393407.2,"Spectra(plate='5171', mjd='56038', fiber='0070')","Spectra(plate='1349', mjd='52797', fiber='0022')",13.225567,7.9977674,10.974052,10.736899
300,143950.87+412205.4,"Spectra(plate='6061', mjd='56076', fiber='0298')","Spectra(plate='8497', mjd='58161', fiber='0372')",13.933801,13.429895,12.107733,12.282668
301,144639.40+573027.4,"Spectra(plate='8411', mjd='57875', fiber='0726')","Spectra(plate='6800', mjd='56399', fiber='0981')",3.8418243,3.3566756,3.818682,3.817002
