# 	Wavelength	 Divided_Spectra	 Divided_Error
1.040821891737581836e+03 7.487403804298354837e-01 1.200376413884944871e-01
1.041061961338734591e+03 1.191501542364245658e+00 2.140870549978674264e-01
1.041301215301378534e+03 7.443914543438890918e-01 1.221699632441116123e-01
1.041541556782034149e+03 8.720387079559531740e-01 1.641711822206188276e-01
1.041781082624180954e+03 8.620603649914273525e-01 1.647731756553161286e-01
1.042020608466327758e+03 6.276819233390392716e-01 1.066567459497559101e-01
1.042260949946983374e+03 7.719711208680172243e-01 1.500164988684845879e-01
1.042500747668633267e+03 5.716113712142676384e-01 9.970375494361642665e-02
1.042741089149289110e+03 8.952516142680997380e-01 1.932406461884093596e-01
1.042981158750441637e+03 6.624652229219234467e-01 1.390406091523666565e-01
1.043221500231097480e+03 7.017097206570857004e-01 1.322381528591868860e-01
1.043461569832250234e+03 1.302066747879925490e+00 3.108792953091455424e-01
1.043701639433402988e+03 8.240732718034594617e-01 2.126190932076146012e-01
1.043942252793561920e+03 6.694023296086429875e-01 1.416741422759428826e-01
1.044182594274217763e+03 6.902164189955012352e-01 1.403526376806309428e-01
1.044423207634376467e+03 6.527736590123136562e-01 1.388760502352242576e-01
1.044663549115032083e+03 7.458259879763901035e-01 1.422074857014257732e-01
1.044904434354693876e+03 9.132919448671334983e-01 1.435135261506364224e-01
1.045144775835349719e+03 8.251668545775415753e-01 1.252865301112449092e-01
1.045385117316005562e+03 7.182246266693257386e-01 1.201901069346150291e-01
1.045626274435170217e+03 7.563871938940327500e-01 1.491521855307231248e-01
1.045866887795329149e+03 8.132680968743745131e-01 1.725284547785595757e-01
1.046108044914493803e+03 7.518565667171936973e-01 1.641764719252514215e-01
1.046348658274652507e+03 4.857549695304829163e-01 1.331703862290303519e-01
1.046590087273320478e+03 5.241332978382766683e-01 1.198449068954665908e-01
1.046830700633479182e+03 5.572545330658015272e-01 1.206595220911076682e-01
1.047071585873140975e+03 5.505751247033520146e-01 1.292558673461487173e-01
1.047313014871808718e+03 5.232730455783167756e-01 1.291888469263224037e-01
1.047553900111470512e+03 6.126860829509254147e-01 1.324194572595724095e-01
1.047795600989641343e+03 6.056462166641292111e-01 1.350603115774772767e-01
1.048036486229303136e+03 6.308665593513754777e-01 1.325229464235745669e-01
1.048278187107473968e+03 5.211041820194811658e-01 1.024508905111978091e-01
1.048519344226638850e+03 5.191046363973839117e-01 9.511171360751223547e-02
1.048760501345803505e+03 5.511119664241627136e-01 9.449178788774557913e-02
1.049002474103477198e+03 5.158508587444481375e-01 8.699732408786445270e-02
1.049243631222642080e+03 5.635894668450037726e-01 8.849121829214899593e-02
1.049485875859818861e+03 7.769838109953561833e-01 1.234699303375591251e-01
1.049727032978983743e+03 7.372636769067676399e-01 1.178052273259415500e-01
1.049969277616160525e+03 7.811433226761217430e-01 1.250784120553739831e-01
1.050210706614828268e+03 7.731450429842285921e-01 1.165423032099095202e-01
1.050452407492999100e+03 7.361993222411291615e-01 1.096523523847798276e-01
1.050694652130175882e+03 7.446353154864748802e-01 1.149941556061460785e-01
1.050936353008346714e+03 6.951489695599823992e-01 1.123481588221668243e-01
1.051178597645523496e+03 6.740753211676512313e-01 1.284479276855795549e-01
1.051420570403197189e+03 5.845001984634099479e-01 1.046870563316839031e-01
1.051662815040374198e+03 5.207770636597834901e-01 9.180659238254089416e-02
1.051904787798047892e+03 4.502953635922259390e-01 8.699233308815673693e-02
1.052146760555721585e+03 5.901537033957406919e-01 9.911273610833683245e-02
1.052389548951904544e+03 6.904174755668833763e-01 1.368168807297196476e-01
1.052631521709578237e+03 8.936507774997215492e-01 1.962016882704187559e-01
1.052874310105761197e+03 1.276288829384865764e+00 3.727098590859878602e-01
1.053116554742937751e+03 1.162081116409519943e+00 3.083970616460744441e-01
1.053359343139120710e+03 6.437727305795791777e-01 1.452855473759339100e-01
1.053601587776297492e+03 6.235088518146499892e-01 1.064341739990416341e-01
1.053844104292977363e+03 5.548188207384406878e-01 9.296922214520746131e-02
1.054087164568663184e+03 6.095021043814065065e-01 8.550605959427709513e-02
1.054329681085342827e+03 6.543083137181727738e-01 9.204268384522940050e-02
1.054572741361028875e+03 5.553649907419911935e-01 8.690116414672181822e-02
1.054815257877708518e+03 5.660283397331765665e-01 8.339818228128767497e-02
1.055058590032897428e+03 5.899979408102759004e-01 8.793092913332561933e-02
1.055301378429080160e+03 5.887777047855489165e-01 9.442394705250302389e-02
1.055543894945760030e+03 5.088569103893795242e-01 7.448378387059383099e-02
1.055787498980451801e+03 5.737967273969007964e-01 8.341772989229016833e-02
1.056030287376634533e+03 6.826352982101363542e-01 1.097653207003460446e-01
1.056273891411326531e+03 6.839222616797245857e-01 1.067353044861240052e-01
1.056516951687012352e+03 6.011510995757566311e-01 8.692373174731485297e-02
1.056760555721704122e+03 6.918671584043539768e-01 9.614940769029547973e-02
1.057003615997389943e+03 6.952131944951701614e-01 9.420933461587720215e-02
1.057246676273075764e+03 7.170106110610382499e-01 9.746029994657391671e-02
1.057490552187270623e+03 6.298039149864819164e-01 8.962942377596760934e-02
1.057733884342459305e+03 5.627766392498738668e-01 8.743514870714906573e-02
1.057977760256654165e+03 5.850924856709887045e-01 9.231143056656278267e-02
1.058221092411843074e+03 6.780116814338587039e-01 9.834573024000821395e-02
1.058465240205540795e+03 6.851132244711545249e-01 1.107036875762397177e-01
1.058708572360729704e+03 6.469123313935819519e-01 1.045661912524954024e-01
1.058952720154427652e+03 7.344044484332714617e-01 1.118324890516234904e-01
1.059196324189119423e+03 6.971184467674309548e-01 1.110521529236758453e-01
1.059439928223811194e+03 5.946446935974011305e-01 9.889105060548918080e-02
1.059684347897012003e+03 6.656519070159330198e-01 9.446800004076036372e-02
1.059927951931703774e+03 6.757339127220274300e-01 8.223308816697319501e-02
1.060172643484407672e+03 8.246997687261231613e-01 1.012070843827509170e-01
1.060416519398602532e+03 8.849143939386933111e-01 1.039202431261056631e-01
1.060660939071803341e+03 9.362566848123273777e-01 1.095650355140089932e-01
1.060905086865501062e+03 9.737455007620235969e-01 1.201570060798400480e-01
1.061148962779696149e+03 8.613618935806585108e-01 1.081745671561298999e-01
1.061393654332399819e+03 1.044560667820834121e+00 1.426253187937078504e-01
1.061637802126097768e+03 7.501735757487797418e-01 9.254971183713846250e-02
1.061882765558304527e+03 7.007524765672208389e-01 8.956476130073172393e-02
1.062126913352002248e+03 7.262626334140004358e-01 9.898580659274991422e-02
1.062371876784209235e+03 6.857281752692219179e-01 9.343539675494311192e-02
1.062616296457410044e+03 6.728574554600286195e-01 9.481101820684652293e-02
1.062860716130610854e+03 6.158763373458825408e-01 9.585099810944691656e-02
1.063105951442320702e+03 5.850268824619658803e-01 8.945247852423265922e-02
1.063350371115521511e+03 6.508276558233277997e-01 9.130734465102714748e-02
1.063595606427231360e+03 7.076109489035536937e-01 1.006643451926789168e-01
1.063840297979935258e+03 7.999869832567511052e-01 1.049566699017372706e-01
1.064085533291645106e+03 7.951739076839762221e-01 9.804038575499028629e-02
1.064330496723851866e+03 9.654470261063513581e-01 1.203799618527472415e-01
1.064575188276555764e+03 7.913460015576908591e-01 9.812982590708618780e-02
1.064820695467768701e+03 7.912150317653366960e-01 1.015649750954855379e-01
1.065065658899975460e+03 8.026280420879484678e-01 1.039590632101672629e-01
1.065311437970691486e+03 7.011813585086897893e-01 9.153428039691662021e-02
1.065556401402898246e+03 6.967101913114298606e-01 9.239362280484746115e-02
1.065802180473614044e+03 7.568971077354663679e-01 9.178269226169319395e-02
1.066047415785323892e+03 8.701448023615921956e-01 1.041681911618891621e-01
1.066292651097033740e+03 8.311305266964279514e-01 1.057272304036739191e-01
1.066538430167749539e+03 7.937297565406125077e-01 9.728802959269698680e-02
1.066783665479459387e+03 7.392948037154740693e-01 8.944108927855140556e-02
1.067029716429678274e+03 7.118521878871317821e-01 8.786316601275254157e-02
