ehvo_SDSS_NAME,	ehvo_PLATE,	ehvo_MJD,	ehvo_FIBER,	ehvo_SPEC_NAME,	ehvo_ZEM,	ehvo_SNR
160852.73+584513.5,	6976,	56448,	0440,	spec-6976-56448-0440-dered.dr16,	2.385,	19.57809
162115.06+400732.3,	6045,	56072,	0455,	spec-6045-56072-0455-dered.dr16,	2.208,	29.57194
162122.54+075808.4,	5212,	56016,	0348,	spec-5212-56016-0348-dered.dr16,	2.138,	27.72645
162349.61+505501.1,	6313,	56460,	0295,	spec-6313-56460-0295-dered.dr16,	2.615,	20.66545
162546.21+504031.0,	8059,	57895,	0912,	spec-8059-57895-0912-dered.dr16,	2.995,	16.08408
163514.75+415230.2,	8524,	57656,	0969,	spec-8524-57656-0969-dered.dr16,	2.314,	21.21054
164002.13+472954.9,	6318,	56186,	0342,	spec-6318-56186-0342-dered.dr16,	2.369,	14.48885
164051.13+384642.1,	10728,	58248,	0740,	spec-10728-58248-0740-dered.dr16,	2.035,	12.45915
165542.60+381338.3,	5187,	56074,	0092,	spec-5187-56074-0092-dered.dr16,	1.945,	35.5062
213054.48+011500.5,	5144,	55829,	0475,	spec-5144-55829-0475-dered.dr16,	2.548,	20.90533
213651.21-014528.3,	9142,	57664,	0368,	spec-9142-57664-0368-dered.dr16,	2.110,	25.19914
223829.73+312303.0,	11634,	58484,	0334,	spec-11634-58484-0334-dered.dr16,	2.046,	17.33883
224120.02+164100.8,	5039,	56220,	0625,	spec-5039-56220-0625-dered.dr16,	2.408,	23.49805
230820.39+204004.3,	6122,	56246,	0696,	spec-6122-56246-0696-dered.dr16,	3.623,	17.13663
232013.37+145857.8,	6142,	56219,	0893,	spec-6142-56219-0893-dered.dr16,	2.716,	19.12621
232919.28+271959.3,	7701,	57356,	0794,	spec-7701-57356-0794-dered.dr16,	2.664,	23.62581
234150.71+244411.1,	7667,	57580,	0430,	spec-7667-57580-0430-dered.dr16,	2.32,	17.16351
234448.62+165312.2,	6138,	56598,	0754,	spec-6138-56598-0754-dered.dr16,	2.395,	24.75767
235137.18+232135.3,	7597,	56973,	0699,	spec-7597-56973-0699-dered.dr16,	1.969,	24.8772
235818.74+092038.1,	11277,	58450,	0622,	spec-11277-58450-0622-dered.dr16,	2.628,	25.41373
235954.02+112618.4,	6182,	56190,	0657,	spec-6182-56190-0657-dered.dr16,	2.968,	14.60183
