,Spectra Name,Redshift,SNR
138,spec-9590-57813-0295-dered.dr16,1.9129,26.94338
139,spec-4468-55894-0786-dered.dr16,1.91227,29.83013
140,spec-4835-56016-0460-dered.dr16,1.913,16.70602
141,spec-5203-56034-0346-dered.dr16,1.91276,21.46691
142,spec-5377-55957-0558-dered.dr16,1.913,24.64495
143,spec-5782-56272-0604-dered.dr16,1.915514,21.56313
144,spec-5987-56339-0860-dered.dr16,1.917012,20.07308
145,spec-5997-56309-0870-dered.dr16,1.91382,29.64623
146,spec-6482-56358-0520-dered.dr16,1.91553,12.9117
147,spec-6627-56369-0996-dered.dr16,1.913,15.53
148,spec-7382-56991-0118-dered.dr16,1.90993,14.40089
149,spec-8862-57461-0960-dered.dr16,1.915482,28.0976
150,spec-9549-57807-0304-dered.dr16,1.913,19.78879
151,spec-7619-56900-0602-dered.dr16,1.92343,16.60622
152,spec-7668-57579-0707-dered.dr16,1.9132,18.30951
153,spec-11379-58438-0758-dered.dr16,1.9133,17.21589
154,spec-8760-57672-0002-dered.dr16,1.9135,22.13469
155,spec-10431-58137-0135-dered.dr16,1.914,18.46092
156,spec-5352-56269-0584-dered.dr16,1.91339,31.11114
157,spec-7109-56658-0710-dered.dr16,1.90286,14.77685
158,spec-10434-58140-0572-dered.dr16,1.9143,16.16488
159,spec-9147-58038-0241-dered.dr16,1.9144,15.83046
160,spec-7630-57006-0180-dered.dr16,1.91971,23.55755
161,spec-7821-57279-0079-dered.dr16,1.912558,15.78055
162,spec-11294-58451-0910-dered.dr16,1.915,15.97981
163,spec-5403-55979-0500-dered.dr16,1.91623,22.25524
164,spec-5779-56338-0292-dered.dr16,1.913873,24.67933
165,spec-5867-56034-0637-dered.dr16,1.91225,28.06334
166,spec-5880-56042-0522-dered.dr16,1.91271,14.91557
167,spec-6660-56370-0736-dered.dr16,1.915,14.59357
168,spec-8506-57893-0528-dered.dr16,1.915,19.44044
169,spec-8729-57399-0420-dered.dr16,1.91796,11.91208
170,spec-10723-58287-0019-dered.dr16,1.9153,16.09204
171,spec-11046-58398-0643-dered.dr16,1.9155,19.31827
172,spec-7748-58396-0649-dered.dr16,1.9159,26.24769
173,spec-5396-55947-0930-dered.dr16,1.91757,33.9838
174,spec-6034-56103-0712-dered.dr16,1.91814,24.49664
175,spec-7580-56955-0827-dered.dr16,1.91681,21.14927
176,spec-7655-57336-0358-dered.dr16,1.91706,20.83895
177,spec-8839-57846-0263-dered.dr16,1.916,36.2434
178,spec-7892-57333-0024-dered.dr16,1.91766,21.66229
179,spec-11396-58490-0784-dered.dr16,1.9166,18.76016
180,spec-8424-58248-0592-dered.dr16,1.9168,15.64737
181,spec-11303-58428-0234-dered.dr16,1.9169,16.1271
182,spec-5164-56067-0928-dered.dr16,1.92063,21.26977
183,spec-6486-56328-0254-dered.dr16,1.915786,26.3764
184,spec-6690-56416-0370-dered.dr16,1.9177,22.87462
185,spec-11114-58437-0780-dered.dr16,1.9172,19.51911
186,spec-9331-57711-0233-dered.dr16,1.9173,28.0675
187,spec-9173-58069-0823-dered.dr16,1.9175,15.16527
188,spec-9372-58074-0133-dered.dr16,1.9176,17.68181
189,spec-7664-57367-0194-dered.dr16,1.91766,16.25917
190,spec-8761-58430-0769-dered.dr16,1.9179,17.55743
191,spec-9372-58074-0171-dered.dr16,1.9179,19.1426
192,spec-4373-55811-0056-dered.dr16,1.921314,14.92987
193,spec-5808-56325-0532-dered.dr16,1.92045,19.4331
194,spec-5973-56067-0372-dered.dr16,1.9197,17.95616
195,spec-9394-58108-0381-dered.dr16,1.918,22.37492
196,spec-9546-57864-0317-dered.dr16,1.918,19.36253
197,spec-7733-58103-0752-dered.dr16,1.9181,22.73794
198,spec-5790-56271-0071-dered.dr16,1.91814,17.49402
199,spec-6010-56097-0090-dered.dr16,1.91727,24.81156
200,spec-6430-56299-0510-dered.dr16,1.92106,16.38754
201,spec-7671-57360-0360-dered.dr16,1.93003,17.34315
202,spec-5175-55955-0532-dered.dr16,1.91878,19.65754
203,spec-5284-55866-0892-dered.dr16,1.923984,31.15269
204,spec-6693-56384-0730-dered.dr16,1.91999,16.69576
205,spec-6815-56419-0970-dered.dr16,1.918308,13.51829
206,spec-7445-56720-0783-dered.dr16,1.91478,21.89657
207,spec-8160-57071-0930-dered.dr16,1.92202,23.29908
208,spec-7728-58138-0111-dered.dr16,1.9203,17.71181
209,spec-11083-58515-0797-dered.dr16,1.9206,18.52691
210,spec-7642-57651-0556-dered.dr16,1.9206,21.90914
211,spec-11079-58485-0512-dered.dr16,1.9209,26.19163
212,spec-5155-55946-0173-dered.dr16,1.92365,22.21829
213,spec-5455-56009-0188-dered.dr16,1.92085,17.92043
214,spec-5485-56063-0068-dered.dr16,1.92578,37.20966
215,spec-5767-56245-0817-dered.dr16,1.920946,25.93992
216,spec-6036-56093-0698-dered.dr16,1.92269,18.60996
217,spec-6670-56389-0286-dered.dr16,1.92426,17.37169
218,spec-6686-56389-0210-dered.dr16,1.92417,17.47408
219,spec-8303-57805-0398-dered.dr16,1.921,31.0041
220,spec-11633-58463-0754-dered.dr16,1.9214,15.7176
221,spec-7748-58396-0522-dered.dr16,1.9216,34.69908
222,spec-9316-58082-0815-dered.dr16,1.9218,16.73526
223,spec-5386-56008-0340-dered.dr16,1.92223,14.80801
224,spec-5406-55955-0952-dered.dr16,1.92206,18.09178
225,spec-6486-56328-0706-dered.dr16,1.923389,42.49648
226,spec-7096-56683-0980-dered.dr16,1.91882,15.0165
227,spec-7586-57186-0306-dered.dr16,1.92884,20.20846
228,spec-8758-58139-0955-dered.dr16,1.9229,32.94865
229,spec-11076-58428-0844-dered.dr16,1.923,24.23533
230,spec-5320-55999-0270-dered.dr16,1.92076,21.34469
231,spec-5402-55927-0377-dered.dr16,1.92568,31.78262
232,spec-6048-56072-0541-dered.dr16,1.92429,31.01005
233,spec-6059-56093-0316-dered.dr16,1.92524,17.18519
234,spec-6966-56748-0978-dered.dr16,1.92495,12.48548
235,spec-8183-57375-0308-dered.dr16,1.923,21.61971
236,spec-9560-57805-0131-dered.dr16,1.923,17.92973
237,spec-9158-57664-0766-dered.dr16,1.9233,19.17735
238,spec-9159-57666-0736-dered.dr16,1.9235,20.40183
239,spec-8055-57187-0877-dered.dr16,1.926294,20.84775
240,spec-10474-58143-0128-dered.dr16,1.9238,20.48422
241,spec-10753-58242-0477-dered.dr16,1.9239,17.22091
242,spec-7623-56901-0860-dered.dr16,1.92595,17.87129
243,spec-5341-55931-0634-dered.dr16,1.92331,22.19881
244,spec-6053-56091-0200-dered.dr16,1.92673,19.22528
245,spec-6172-56269-0318-dered.dr16,1.924,14.69335
246,spec-6198-56211-0235-dered.dr16,1.92249,15.22022
247,spec-6300-56449-0872-dered.dr16,1.92338,15.19903
248,spec-6791-56429-0878-dered.dr16,1.92655,10.85652
249,spec-8234-57450-0089-dered.dr16,1.92113,18.20174
250,spec-7700-58016-0786-dered.dr16,1.9241,17.51567
251,spec-10478-58171-0084-dered.dr16,1.9243,15.59952
252,spec-8299-57346-0658-dered.dr16,1.92487,16.63231
253,spec-8748-58396-0074-dered.dr16,1.9249,23.12067
254,spec-5347-56008-0412-dered.dr16,1.92788,29.77181
255,spec-5350-56009-0593-dered.dr16,1.9277,14.77034
256,spec-5361-55973-0900-dered.dr16,1.92587,43.34649
257,spec-5876-56042-0050-dered.dr16,1.92639,14.61669
258,spec-6463-56340-0001-dered.dr16,1.924231,20.01104
259,spec-6748-56371-0358-dered.dr16,1.93111,25.68261
260,spec-7085-56625-0714-dered.dr16,1.92524,29.0451
261,spec-7238-56660-0093-dered.dr16,1.9293,28.86195
262,spec-7892-57333-0683-dered.dr16,1.9219,19.02016
263,spec-11061-58428-0556-dered.dr16,1.9259,17.52602
264,spec-5347-56008-0342-dered.dr16,1.92404,15.68237
265,spec-5801-56328-0207-dered.dr16,1.92997,18.01865
266,spec-5891-56034-0222-dered.dr16,1.92574,20.54261
267,spec-6497-56329-0534-dered.dr16,1.92108,27.16685
268,spec-9401-58103-0655-dered.dr16,1.9261,17.41025
269,spec-8831-57448-0589-dered.dr16,1.93127,16.41849
270,spec-7667-57580-0227-dered.dr16,1.9265,16.13965
271,spec-8429-57893-0580-dered.dr16,1.9265,19.74675
272,spec-7748-58396-0621-dered.dr16,1.9266,13.92777
273,spec-7664-57367-0849-dered.dr16,1.93138,18.36164
274,spec-9404-58045-0714-dered.dr16,1.9268,19.29261
275,spec-10472-58159-0314-dered.dr16,1.9269,20.10978
276,spec-5175-55955-0690-dered.dr16,1.92786,18.7052
277,spec-5288-55865-0484-dered.dr16,1.9267,13.36314
278,spec-5292-55926-0374-dered.dr16,1.92615,34.28983
279,spec-5375-55973-0704-dered.dr16,1.92497,18.1138
280,spec-5415-55982-0052-dered.dr16,1.926592,19.29918
281,spec-5719-56014-0620-dered.dr16,1.92806,19.85914
282,spec-5770-56014-0944-dered.dr16,1.927,22.87582
283,spec-5973-56067-0466-dered.dr16,1.92657,16.4376
284,spec-6322-56190-0424-dered.dr16,1.92712,31.99967
