SDSS name,Spec Files,Redshift (from SDSS),Redshift (from Rankine),Redshift,OG EHVO obs = Rankine Obs,OG EHVO Obs,Tmin (restframe),BI 2000 Limit #s ->,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,VCentral,BI 500 Limit #s ->,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL 500,DEPTH,VCentral,,NV?,SiIV?,NV > CIV?,
J162349.61+505501.1,spec-2884-54526-0579,2.615,2.61366,2.61366,TRUE,,535.1915,1,0,[],[],[],[],[],[],5,0,0,,,0,,,,N/A,FALSE,N/A,No data for NV
J162349.61+505501.1,spec-6313-56460-0295,2.615,2.61366,2.61366,TRUE,1,535.1915,1,35.09,[35.09],[-46636.81496],[-49125.77042],[406.84],[0.26],[-47978.41929633],5,164.52,164.52,-46636.81496,-49125.77042,406.84,0.26,[-47978.41929633],,FALSE,FALSE,FALSE,"Massive NV complex blue of the highlighted region, unsure. No obvious SiIV"
J075916.12+092743.0,spec-2945-54505-0067,2.635,2.63804,2.63804,TRUE,,371.6287,1,0,[],[],[],[],[],[],5,19.77,19.77,-39688.10342,-41449.97415,183.06,0.18,[-40581.10525501],,TRUE,TRUE,TRUE,
J075916.12+092743.0,spec-5494-55857-0549,2.635,2.63804,2.63804,TRUE,1,371.6287,1,39.67,[39.67],[-37651.61786],[-40433.90802],[454.89],[0.26],[-39079.96038465],5,188.06,188.06,-37651.61786,-40433.90802,454.89,0.26,[-39079.96038465],,TRUE,TRUE,TRUE,
J232919.28+271959.3,spec-6587-56537-0015,2.6636,,2.6636,FALSE,,223.5506,1,4252.77,4252.77,-31003.36306,-49368.10217,5870.2,0.74,[-39929.11060218],5,4492.85,4492.85,-31003.36306,-49368.10217,5870.2,0.74,[-39929.11060218],,TRUE,TRUE,TRUE,"Ly-a+NV emission line basically doesn't exist here, likely caused by SiIV absorption"
J232919.28+271959.3,spec-7701-57356-0794,2.6636,,2.6636,FALSE,1,223.5506,1,3635.69,3635.69,-32027.28916,-50240.59287,5209.38,0.78,[-40885.20147525],5,3773.37,3773.37,-32027.28916,-50240.59287,5209.38,0.78,[-40885.20147525],,TRUE,TRUE,TRUE,"Ly-a+NV emission line basically doesn't exist here, likely caused by SiIV absorption"
J103800.50+582343.0,spec-0948-52428-0370,2.702,2.699831,2.699831,TRUE,,1144.106,1,83.62,[83.62],[-39562.18504],[-41865.79517],[421.05],[0.44],[-40865.58689255],5,201.47,"4.38, 0.26, 9.63, 187.18",-147307.5855,-151379.6393,"72.01, 67.58, 90.67, 421.05","0.29, 0.22, 0.26, 0.44",[-34224.79059272 -36245.96318099 -38230.50007038 -40865.58689255],,TRUE,FALSE,TRUE,Unsure of SiIV in this Epoch
J103800.50+582343.0,spec-7089-56661-0060,2.702,2.699831,2.699831,TRUE,1,1144.106,1,924.56,[924.56],[-34123.27995],[-43759.15575],[1985.23],[0.48],[-38668.81778233],5,1127.92,1127.92,-34123.27995,-43759.15575,1985.23,0.48,[-38668.81778233],,TRUE,TRUE,TRUE,
J004659.89+180739.6,spec-6199-56220-0264,2.762,2.765363,2.765363,TRUE,1,180.0623,2,2206.99,[2206.99],[-31958.11356],[-43167.8001],[3287.44],[0.44],[-37553.3546333],5,2396.67,2396.67,-31958.11356,-43167.8001,3287.44,0.44,[-37553.3546333],,TRUE,FALSE,TRUE,
J004659.89+180739.6,spec-7618-56898-0268,2.762,2.765363,2.765363,TRUE,,180.0623,2,1169.38,[1169.38],[-34072.02277],[-43100.07668 ],[2237.81],[0.38],[-38310.42898233],5,1452.54,1452.54,-34072.02277,-43100.07668,2237.81,0.38,[-38310.42898233],,TRUE,?,TRUE,Maybe SiIV
