MJD,RUN2D,CATALOGID,SDSS_ID,Z
59381,v6_1_3,4351341208,62106338,2.5195700464937345
59381,v6_1_3,6032770038,119207634,2.6965184211730957
59636,v6_1_3,27021598102752614,55767655,3.478725729275805
59644,v6_1_3,27021598104209553,55895022,2.619907043576703
59644,v6_1_3,27021598104225376,55940213,2.2965159179895505
59644,v6_1_3,27021598150295819,79963749,2.1335894149214365
59644,v6_1_3,27021598150303758,80032471,2.0446227799219074
59644,v6_1_3,27021598150309345,80151173,2.1484685545011604
59662,v6_1_3,27021598149828813,80009883,2.086400312130333
59665,v6_1_3,27021598150109552,80024735,1.950130642646649
59665,v6_1_3,27021598150171324,80043121,3.2803901236349384
59725,v6_1_3,27021597843330714,68999576,2.0365792827339866
59734,v6_1_3,27021598146880689,79031789,2.816774177321602
59878,v6_1_3,27021597973781179,75811312,3.0151352145629593
59878,v6_1_3,27021597973889884,75904870,2.5035150414694725
59878,v6_1_3,27021597973909778,75906388,2.1875067746557524
59879,v6_1_3,27021597957492072,70353461,2.160783534482387
59879,v6_1_3,27021598103252501,56230260,2.409201317420815
59879,v6_1_3,27021598103371317,56234586,1.9859588400819894
59884,v6_1_3,27021597970245926,76163991,3.233031966722364
59886,v6_1_3,27021597934777287,94933565,2.0018250932621
59888,v6_1_3,27021598103862901,56417135,2.234417594625375
59888,v6_1_3,27021598103923092,56352002,2.4416861969118875
59905,v6_1_3,27021598101428085,74552572,2.260633459164806
59907,v6_1_3,27021597933106642,70330371,2.6095643043518066
59907,v6_1_3,27021597933123633,70327604,2.8826035184041836
59910,v6_1_3,27021598149923117,55786362,3.250646574870376
59913,v6_1_3,27021598103995804,56409067,2.6348730668222275
59913,v6_1_3,27021598104024265,56408992,2.100955098460266
59913,v6_1_3,27021598149850890,80015267,3.0020146807246197
59936,v6_1_3,27021597933617390,70286271,2.1930989526265225
59937,v6_1_3,27021598101930027,75221291,2.332424108998778
59937,v6_1_3,27021598150142377,80040533,2.5943738119485826
59940,v6_1_3,27021597934481123,70062843,2.0129297304279
59940,v6_1_3,27021597934481228,70062833,2.568396084732679
59940,v6_1_3,27021597934481841,70060548,2.302461727709241
59940,v6_1_3,27021598101905778,75233015,1.9326254622063983
59940,v6_1_3,27021598102052673,75252195,2.4236152747888613
59987,v6_1_3,27021597904249339,61178967,3.43875567827767
59992,v6_1_3,27021598052225064,76013315,2.4668273732933184
59994,v6_1_3,27021598102224493,74580972,2.1188353920647462
59999,v6_1_3,27021598101465641,74432419,3.1658101003486605
60029,v6_1_3,27021598150353402,80054601,2.2582930061275777
60030,v6_1_3,27021598145884972,79225953,2.3056209380909296
60049,v6_1_3,27021598157370020,78981129,2.2125466487066836
60050,v6_1_3,27021598149503349,78973922,3.3695439606278237
60050,v6_1_3,27021598149547992,78965047,2.5964028481029096
60050,v6_1_3,27021598157382479,78984674,2.167188030193019
60051,v6_1_3,27021598150503663,80183260,2.3308342997091076
60051,v6_1_3,27021598150511443,80187259,2.1668805305110252
60051,v6_1_3,27021598150515903,80184512,3.606984703525587
60052,v6_1_3,27021598150221426,79958331,1.9212770574332727
60052,v6_1_3,27021598150225390,79960312,2.164415468241261
60056,v6_1_3,27021598146798087,78860385,2.312624573580874
60057,v6_1_3,27021598157827806,78970023,2.4577958609771775
60060,v6_1_3,27021598151539992,80198427,1.9250109179931028
60062,v6_1_3,27021597843823359,69031891,2.5473030425720875
60062,v6_1_3,27021598726459168,59423671,2.664741606527023
60065,v6_1_3,27021598154929041,57006914,2.0295554266604725
60073,v6_1_3,27021597910409781,62065838,3.4365178777350964
60076,v6_1_3,27021598160782400,60249655,3.6600857072205217
60089,v6_1_3,27021598149522326,78953124,2.164553705079955
60109,v6_1_3,27021597926478872,71062388,2.2753178185795937
60119,v6_1_3,27021598160566659,61554004,2.73205449949546
59199,v6_1_3,4555570886,56631191,2.3736378325873018
59231,v6_1_3,4545176534,55759190,2.862580728300752
59253,v6_1_3,4592509812,79999435,2.7869726551962732
59257,v6_1_3,4555548883,57838442,2.494754345684499
59279,v6_1_3,4544982829,74357651,2.5487854349942074
