SPECTRA FILE NAME,REDSHIFT,CALCULATED SNR
spec-015323-59352-4600459061.fits,0,0
spec-015253-59352-6878947186.fits,0,0
spec-015299-59369-4602953428.fits,0,0
spec-015309-59374-5191883450.fits,0,0
spec-015238-59375-4351932691.fits,0,0
spec-015238-59375-4352006667.fits,0,0
spec-015301-59375-4603008471.fits,0,0
spec-015301-59375-4603049440.fits,0,0
spec-015310-59375-5189718924.fits,0,0
spec-015305-59376-4603859423.fits,0,0
spec-015305-59376-4603870110.fits,0,0
spec-015239-59381-4349849827.fits,0,0
spec-015173-59381-4350968445.fits,0,0
spec-015173-59381-4351093563.fits,0,0
spec-015173-59381-4351098365.fits,0,0
spec-015239-59381-4351341208.fits,0,0
spec-015173-59381-6032770038.fits,0,0
spec-021152-59636-27021598102752614.fits,0,0
spec-102022-59644-27021598104209553.fits,0,0
spec-102022-59644-27021598104225376.fits,0,0
spec-101276-59644-27021598150295819.fits,0,0
spec-101276-59644-27021598150303758.fits,0,0
spec-101276-59644-27021598150309345.fits,0,0
spec-101297-59662-27021598149828813.fits,0,0
spec-101300-59665-27021598150109552.fits,0,0
spec-101300-59665-27021598150171324.fits,0,0
spec-101194-59725-27021597843330714.fits,0,0
spec-103297-59734-27021598146880689.fits,0,0
spec-103656-59878-27021597973781179.fits,0,0
spec-103656-59878-27021597973889884.fits,0,0
spec-103656-59878-27021597973909778.fits,0,0
spec-104642-59879-27021597957492072.fits,0,0
spec-101953-59879-27021598103252501.fits,0,0
spec-101953-59879-27021598103371317.fits,0,0
spec-104621-59884-27021597970245926.fits,0,0
spec-104585-59886-27021597934777287.fits,0,0
spec-101945-59888-27021598103862901.fits,0,0
spec-101945-59888-27021598103923092.fits,0,0
spec-104366-59905-27021598101428085.fits,0,0
spec-104578-59907-27021597933106642.fits,0,0
spec-104578-59907-27021597933123633.fits,0,0
spec-104408-59910-27021598149923117.fits,0,0
spec-101956-59913-27021598103995804.fits,0,0
spec-101956-59913-27021598104024265.fits,0,0
spec-101302-59913-27021598149850890.fits,0,0
spec-104645-59936-27021597933617390.fits,0,0
spec-104363-59937-27021598101930027.fits,0,0
spec-101301-59937-27021598150142377.fits,0,0
spec-112361-59940-27021597934481123.fits,0,0
spec-112361-59940-27021597934481228.fits,0,0
spec-112361-59940-27021597934481841.fits,0,0
spec-100154-59940-27021598101905778.fits,0,0
spec-100154-59940-27021598102052673.fits,0,0
spec-101156-59987-27021597904249339.fits,0,0
spec-103959-59992-27021598052225064.fits,0,0
spec-104367-59994-27021598102224493.fits,0,0
spec-104379-59999-27021598101465641.fits,0,0
spec-101281-60029-27021598150353402.fits,0,0
spec-103247-60030-27021598145884972.fits,0,0
spec-102373-60049-27021598157370020.fits,0,0
spec-102383-60050-27021598149503349.fits,0,0
spec-102358-60050-27021598149547992.fits,0,0
spec-102383-60050-27021598157382479.fits,0,0
spec-101266-60051-27021598150503663.fits,0,0
spec-101266-60051-27021598150511443.fits,0,0
spec-101266-60051-27021598150515903.fits,0,0
spec-112360-60052-27021598150221426.fits,0,0
spec-112360-60052-27021598150225390.fits,0,0
spec-103284-60056-27021598146798087.fits,0,0
spec-102357-60057-27021598157827806.fits,0,0
spec-101249-60060-27021598151539992.fits,0,0
spec-101182-60062-27021597843823359.fits,0,0
spec-104547-60062-27021598726459168.fits,0,0
spec-103136-60065-27021598154929041.fits,0,0
spec-104632-60073-27021597910409781.fits,0,0
spec-104540-60076-27021598160782400.fits,0,0
spec-102359-60089-27021598149522326.fits,0,0
spec-104646-60109-27021597926478872.fits,0,0
spec-104536-60119-27021598160566659.fits,0,0
spec-015059-59199-4555570886.fits,0,0
spec-015149-59231-4545176534.fits,0,0
spec-015168-59253-4592509812.fits,0,0
spec-015026-59257-4555548883.fits,0,0
spec-015255-59279-4544982829.fits,0,0
spec-015258-59291-4545114064.fits,0,0
spec-015258-59291-4545198736.fits,0,0
spec-015260-59304-4592563731.fits,0,0
spec-015268-59310-4592668303.fits,0,0
spec-015270-59317-4592991926.fits,0,0
spec-015156-59318-4570380920.fits,0,0
spec-015156-59318-4570388253.fits,0,0
spec-015156-59318-4592612385.fits,0,0
spec-015324-59343-4603761999.fits,0,0
spec-015308-59370-4346106849.fits,0,0
spec-015307-59370-4349130903.fits,0,0
spec-015310-59375-5189681431.fits,0,0
spec-015173-59381-4351094244.fits,0,0
spec-021152-59636-27021598149677774.fits,0,0
spec-103296-59647-27021598146889486.fits,0,0
spec-101297-59662-27021598149835490.fits,0,0
spec-104404-59663-27021598149689173.fits,0,0
spec-101300-59665-27021598150149500.fits,0,0
spec-102347-59731-27021598157842176.fits,0,0
spec-104594-59846-27021597934582956.fits,0,0
spec-101953-59879-27021598103254901.fits,0,0
spec-104634-59898-27021597957480259.fits,0,0
spec-104406-59904-27021598102818947.fits,0,0
spec-104406-59904-27021598149746836.fits,0,0
spec-103608-59906-27021597970766394.fits,0,0
spec-104578-59907-27021597933123662.fits,0,0
spec-101471-59938-27021598152816860.fits,0,0
spec-103959-59994-27021598053264167.fits,0,0
spec-102025-60018-27021598150725763.fits,0,0
spec-101291-60027-27021598150347198.fits,0,0
spec-103247-60030-27021598145889978.fits,0,0
spec-102373-60049-27021598149103392.fits,0,0
spec-112360-60052-27021598150248240.fits,0,0
spec-102375-60052-27021598157263556.fits,0,0
spec-102369-60061-27021598157790239.fits,0,0
spec-101674-60071-27021598160032302.fits,0,0
spec-103020-60087-27021598131901132.fits,0,0
,0,0
spec-015005-59193-4399272889.fits,0,0
spec-015009-59218-4375029862.fits,0,0
spec-015013-59221-4401486634.fits,0,0
spec-015144-59222-4491938738.fits,0,0
spec-015147-59227-4492077053.fits,0,0
spec-015161-59227-4570534685.fits,0,0
spec-015149-59231-4545179601.fits,0,0
spec-015166-59251-4545171223.fits,0,0
spec-015021-59251-4554380685.fits,0,0
spec-015168-59253-4570357950.fits,0,0
spec-015153-59254-4592502116.fits,0,0
spec-015155-59256-4592528128.fits,0,0
spec-015155-59256-4592550442.fits,0,0
spec-015017-59278-4554137313.fits,0,0
spec-015017-59278-4555396540.fits,0,0
spec-015256-59280-4545076278.fits,0,0
spec-015257-59288-4545089107.fits,0,0
spec-015286-59294-4543044526.fits,0,0
spec-015174-59312-4360799712.fits,0,0
spec-015263-59315-4592600269.fits,0,0
spec-015270-59317-4592719429.fits,0,0
spec-015156-59318-4570396477.fits,0,0
spec-015304-59342-4351044066.fits,0,0
spec-015329-59343-4346407017.fits,0,0
spec-015330-59344-4346406124.fits,0,0
spec-015266-59345-4592696913.fits,0,0
spec-015235-59346-4359641145.fits,0,0
spec-015297-59347-4351695975.fits,0,0
spec-015325-59347-4603792017.fits,0,0
spec-015325-59347-4603863596.fits,0,0
spec-015325-59347-4603865172.fits,0,0
spec-015253-59352-4593060184.fits,0,0
spec-015306-59375-4600807256.fits,0,0
spec-015306-59375-4600826374.fits,0,0
spec-015310-59375-5189732386.fits,0,0
spec-015303-59381-4349287058.fits,0,0
spec-015173-59381-4350968799.fits,0,0
spec-015239-59381-4351336868.fits,0,0
spec-021152-59636-27021598102747887.fits,0,0
spec-021152-59636-27021598102751833.fits,0,0
spec-101261-59641-27021598151253813.fits,0,0
spec-102883-59645-27021598131884976.fits,0,0
spec-103296-59647-27021598146870109.fits,0,0
spec-104404-59663-27021598149728474.fits,0,0
spec-104405-59664-27021598102797414.fits,0,0
spec-101212-59676-27021598131745097.fits,0,0
spec-102347-59731-27021598157842437.fits,0,0
spec-103297-59734-27021598155864333.fits,0,0
spec-104642-59879-27021597957492020.fits,0,0
spec-101992-59883-27021598104079315.fits,0,0
spec-104406-59904-27021598102806843.fits,0,0
spec-104406-59904-27021598149891530.fits,0,0
spec-104408-59910-27021598149922770.fits,0,0
spec-112361-59940-27021597934481635.fits,0,0
spec-100787-59953-27021597913940744.fits,0,0
spec-102906-59976-27021597917728702.fits,0,0
spec-103668-59999-27021597973421134.fits,0,0
spec-104394-60014-27021598103009307.fits,0,0
spec-102025-60018-27021598150722651.fits,0,0
spec-112360-60052-27021600049989020.fits,0,0
spec-103284-60056-27021598146793334.fits,0,0
spec-104547-60062-27021598726446681.fits,0,0
spec-102348-60088-27021598149618953.fits,0,0
spec-102627-60088-27021598728823170.fits,0,0
spec-112359-60118-27021597909959875.fits,0,0
spec-112359-60118-27021597910082661.fits,0,0
spec-104536-60119-27021598160770476.fits,0,0
